Brain Regions,Neurochemicals,Control (n = 7),DHA (n = 7),p-Value
PFC,DA,3.463 ± 0.390,3.551 ± 0.454,0.85
PFC,DOPAC,0.090 ± 0.012,0.078 ± 0.015,0.64
PFC,HVA,0.121 ± 0.015,0.092 ± 0.009,0.61
PFC,5-HT,0.174 ± 0.022,0.124 ± 0.030,0.08
PFC,5-HIAA,0.067 ± 0.010,0.050 ± 0.010,0.25
PFC,NE,0.168 ± 0.022,0.163 ± 0.039,0.89
HC,DA,2.459 ± 0.181,3.269 ± 0.371,0.14
HC,HVA,0.170 ± 0.035,0.155 ± 0.024,0.99
HC,5-HT,0.105 ± 0.017,0.137 ± 0.024,0.26
HC,5-HIAA,0.096 ± 0.004,0.113 ± 0.019,0.36
HC,NE,0.072 ± 0.008,0.105 ± 0.014,0.11
