Unnamed: 0,MI-NF,VI
MDS-UPDRS III,,
pre,32.3 ± 8.1 (19–53),34.5 ± 9.6 (20–62)
post,31.3 ± 9.8 (15–53),35.1 ± 10.8 (20–60)
,,
Physical Performance Test,,
pre,25.1 ± 3.3 (18–31),24.2 ± 3.0 (18–30)
post,26.1 ± 3.5 (18–32),24.7 ± 3.5 (17–31)
,,
Endurance walking (m),,
pre,162.6 ± 30.7 (106.7–213.4),152.7 ± 26.1 (92.4–201.8)
post,171.3 ± 33.2 (114.0–226.1),160.7 ± 25.5 (105.9–198.1)
,,
Gross motor combined (s),,
pre,23.7 ± 4.7 (16.9–32.7),24.4 ± 4.9 (17.5–39.9)
post,22.3 ± 5.1 (13.4–35.8),24.1 ± 5.2 (17.7–38.8)
,,
MIQ-3,,
pre,5.4 ± 1.0 (3.8–7),5.0 ± 0.6 (3.9–6.3)
post,5.5 ± 0.8 (3.7–7.0),5.4 ± 0.9 (3.2–6.7)
