Characteristics,Total (N = 89),Assigned Female at Birth (N = 69),Assigned Male at Birth (N = 20),Assigned Sex Diff.
Age (years),29.5 ± 8.6,28.35 ± 7.8,33.35 ± 10.24,p = 0.022
Race/Ethnicity (%),,,,p = 0.533
Asian,7 (8%),6 (9%),1 (5%),
Black,7 (8%),7 (10%),0,
Hispanic/Latino,6 (7%),4 (6%),2 (10%),
Native American,1 (1%),1 (1%),0,
White,65 (73%),50 (72%),15 (75%),
Bi-/multiracial,2 (2%),1 (1%),1 (5%),
Missing,1 (1%),0,1 (5%),
Gender (%),,,,-
Female,65 (73%),65 (94%),0,
Male,19 (21%),0,19 (95%),
Non-binary or gender non-conforming,5 (6%),4 (6%),1 (5%),
Sex Assigned at Birth (female/male),69/20,-,-,-
Medication (%),,,,p’s > 0.289
SSRI,24 (27%),19 (28%),5 (25%),
Mood Stabilizer,7 (8%),6 (9%),1 (5%),
Antipsychotic,1 (1%),1 (1%),0,
Benzodiazepine,6 (7%),3 (4%),3 (15%),
SNRI,4 (5%),4 (6%),0,
Tricyclic,1 (1%),1 (1%),0,
Stimulant,8 (9%),6 (9%),2 (10%),
Anti-hypertensive,3 (3%),3 (4%),0,
Atypical Antidepressant,8 (9%),7 (10%),1 (5%),
Anxiolytic,6 (7%),4 (6%),2 (10%),
PACAP (pM),960.7 ± 766.9,1109.9 ± 786.9,445.9 ± 385.0,p < 0.001
PTSD Diagnosis (%),59 (66.3%),49 (71%),10 (50%),p = 0.080
CAPS Total,29.0 ± 10.3,30.6 ± 10.1,23.3 ± 9.2,p = 0.006
CAPS – Anxious Arousal,3.1 ± 2.0,3.4 ± 2.1,2.8 ± 1.9,p = 0.505
CAPS – Startle Response,1.3 ± 1.2,1.4 ± 1.3,1.0 ± 1.1,p = 0.189
LEC-5 Total,13.2 ± 8.3,12.8 ± 8.4,14.4 ± 7.9,p = 0.472
