Brain region,"Peak MNI, mm","Peak MNI, mm","Peak MNI, mm",DC value of tinnitus patients,DC value of healthy controls,T
Unnamed: 0_level_1,x,y,z,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1
Anterior cingulate cortex,−3,26,44,73.75 ± 3.21.25,57.42 ± 7.22.45,2.75
R insula,37,32,−2,70.87 ± 0.20.96,54.27 ± 4.18.42,3.09
L superior frontal gyrus,−20,45,39,73.75 ± 3.21.25,57.42 ± 7.22.45,2.75
R superior frontal gyrus,26,50,27,73.75 ± 3.22.17,57.50 ± 7.15.56,3.12
R middle frontal gyrus,43,49,−2,65.73 ± 5.24.29,48.06 ± 8.15.05,3.21
R inferior parietal lobule,49,−42,45,69.96 ± 9.23.02,52.69 ± 2.22.68,2.78
L thalamus,−15,4,8,84.88 ± 4.25.69,61.31 ± 1.21.43,3.66
R thalamus,9,−4,6,82.12 ± 2.27.21,61.84 ± 1.27.48,2.73
"R middle temporal gyrus (anterior part, DMN)",65,−24,−19,74.87 ± 4.21.47,58.78 ± 8.21.19,2.77
"L middle temporal gyrus (posterior part, SAC)",−56,−50,10,84.42 ± 4.25.85,66.14 ± 6.23.97,2.69
