Unnamed: 0_level_0,Classification accuracy,Classification accuracy,Classification accuracy,CAPS-IV MSE,CAPS-IV MSE,CAPS-IV MSE
Method,T1,T2,T3,T1,T2,T3
Deep FMRI ???,74.0±6.6,59.0±12.0,43.4±9.0,0.5±0.2,0.5±0.2,0.3±0.2
Li et al. ???,72.0±7.0,62.9±5.0,76.2±6.0,0.7±0.3,0.9±0.7,1.1±0.8
Random Forest (???),68.3±7.6,63.4±9.0,73.2±6.2,0.4±0.3,0.3 ±0.2,0.3 ±0.2
Raw data MLP,46.5±20.0,55.2±14.0,33.6±25.0,0.7±0.5,0.4±0.2,0.3±0.2
Ours,88.6±2.0,80.4±3.0,84.0±5.4,0.2±0.0,0.3±0.1,0.1±0.1
Ours + GCN,82.1±5.0,54.6±6.7,72.4±8.6,0.4±0.1,0.3±0.1,0.2±0.3
Ours 3 independent,81.0±3.0,77.0±3.0,80.0±1.0,0.9±0.2,0.4±0.1,0.1±0.0
Ours no reweighting,72.0±7.0,56.6±11.0,57.5±13.0,0.4±0.1,0.4±0.2,0.6±0.4
Ours Pearson as F,73.3±7.0,55.3±9.0,51.0±10.0,1.1±0.1,0.4±0.2,0.6±0.2
Ours E=identity,70.5±7.0,51.0±9.0,59.1±10.0,1.1±0.6,1.0±0.5,0.9±0.6
