Unnamed: 0_level_0,Classification accuracy,Classification accuracy,Classification accuracy,CAPS-IV MSE,CAPS-IV MSE,CAPS-IV MSE
Method,T1,T2,T3,T1,T2,T3
Deep FMRI (???),74.1±2.4,30.0±9.6,22.7±4.6,0.9±0.0,0.8±0.2,0.6±0.1
Li et al. ???,70.6±5.4,64.5±9.8,67.1±10.0,0.8±0.3,0.8±0.2,0.6±0.2
Random Forest (???),74.1±2.4,31.0±10.9,22.8±4.5,1.0±0.1,1.0±0.2,0.8±0.1
Raw data MLP,71.5±3.7,52.2±3.9,62.4±9.1,1.1±0.1,1.2±0.1,0.8±0.2
Ours,80.7±1.8,68.3±10.0,70.4±7.5,0.8±0.1,0.7±0.2,0.6±0.1
Ours + GCN,79.1±6.8,46.4±11.8,67.9±13.5,0.9±0.0,0.9±0.2,0.8±0.1
Ours no reweighting,79.2±1.6,55.3±10.5,58.6±11.8,0.9±0.1,1.2±0.2,0.8±0.2
Ours Pearson as F,67.5±4.6,47.1±16.8,52.1±13.6,1.5±0.6,2.0±0.6,1.1±0.3
Ours E=identity,66.7±8.2,44.2±11.0,52.6±5.6,1.0±0.2,1.1±0.2,0.8±0.1
