Unnamed: 0_level_0,Classification accuracy,Classification accuracy,Classification accuracy,CAPS-IV MSE,CAPS-IV MSE,CAPS-IV MSE
Method,T1,T2,T3,T1,T2,T3
Deep FMRI (???),79.3±3.5,37.0±5.4,32.2±11.2,0.9±0.2,1.2±0.6,0.7±0.2
Li et al. ???,79.8±4.6,64.0±8.1,70.8±13.5,1.1±0.1,1.3±0.4,0.9±0.5
Random Forest (???),74.9±3.7,59.0±12.0,68.5±7.1,1.0±0.1,1.4±0.4,1.0±0.1
Raw data MLP,74.9±6.5,60.9±5.8,59.7±5.1,1.3±0.3,1.5±0.3,1.0±0.3
Ours,85.8±3.6,80.0±11.2,69.3±9.1,0.8±0.2,1.0±0.0,0.7±0.1
Ours + GCN,84.1±2.4,69.8±7.0,66.5±9.1,0.9±0.4,1.4±0.4,0.9±0.1
Ours no reweighting,80.0±2.4,53.4±7.3,40.4±2.4,0.9±0.1,1.3±0.6,1.0±0.1
Ours Pearson as F,76.6±8.0,41.4±11.8,61.8±11.3,1.4±0.2,1.6±0.4,0.9±0.2
Ours E=identity,76.6±2.4,61.5±4.5,67.4±8.7,0.9±0.2,1.4±0.3,0.9±0.0
