Brain regions,Hemisphere,Peak MNI coordinates,Peak MNI coordinates,Peak MNI coordinates,Voxels,Peak t-value
Unnamed: 0_level_1,Unnamed: 1_level_1,X,Y,Z,Unnamed: 5_level_1,Unnamed: 6_level_1
Without global regression,Without global regression,Without global regression,Without global regression,Without global regression,Without global regression,Without global regression
Hippocampus,L,−33,−15,−9,537,6.112
Temporal pole,L,−48,0,−12,537,4.395
Inferior temporal gyrus,L,−48,−21,−30,537,4.163
Middle temporal gyrus,L,−54,−57,27,162,5.412
Cerebellar vermis (X),–,3,−54,−30,531,4.174
Cerebelum (IV-V),R,27,−39,−27,212,4.877
Cerebelum (VI),R,39,−60,−18,212,3.509
Temporal pole,R,45,6,−12,539,4.810
Fusiform gyrus,R,36,−12,−24,539,4.413
Cerebelum (Crus 1),L,−39,−63,−27,57,4.508
Inferior occipital gyrus,L,−27,−84,3,73,4.379
Angular gyrus,R,48,−57,39,50,4.226
Inferior parietal lobule,L,−42,−30,42,47,4.159
Inferior temporal gyrus,R,57,−21,−27,88,3.838
Superior temporal gyrus,L,−48,−27,15,67,3.827
Middle temporal gyrus,L,−51,−39,−9,23,3.720
Middle temporal gyrus,R,66,−21,−3,20,3.599
Heschls gyrus,R,63,−6,12,22,3.597
With global regression,With global regression,With global regression,With global regression,With global regression,With global regression,With global regression
Insula gyrus,R,45,3,−12,221,5.327
Fusiform gyrus,R,39,−24,21,221,3.446
Cerebellum (IV-V),L,−21,−45,−27,43,4.941
Postcentral gyrus,L,−45,−18,36,279,4.712
Middle temporal gyrus,L,−54,−18,−3,279,4.323
Middle temporal gyrus,L,−45,3,−27,49,4.628
Middle temporal gyrus,R,66,−36,6,86,4.569
Temporal pole,L,−51,15,−15,34,4.196
Rolandic operculum,R,63,−6,9,70,3.809
Postcentral gyrus,R,63,−21,36,25,3.775
Cerebellum (Crus 1),R,42,−69,−24,26,3.684
