Brain regions,Hemisphere,Peak MNI coordinates,Peak MNI coordinates,Peak MNI coordinates,Voxels,Peak t-value
Unnamed: 0_level_1,Unnamed: 1_level_1,X,Y,Z,Unnamed: 5_level_1,Unnamed: 6_level_1
Without global regression,Without global regression,Without global regression,Without global regression,Without global regression,Without global regression,Without global regression
Cerebellum (Crus 1),R,12,−72,−30,"3,090",−5.976
Cerebellum (Crus 1),R,36,−60,−33,"3,090",−5.939
Cerebellum (Crus 1),L,−9,−75,−30,"3,090",−5.751
Inferior occipital gyrus,L,−36,−84,−12,20,−3.969
With global regression,With global regression,With global regression,With global regression,With global regression,With global regression,With global regression
Insula gyrus,R,36,3,0,260,−4.066
Thalamus,R,15,−24,15,30,−4.069
Superior frontal gyrus,R,15,12,48,19,−3.912
Putamen,R,33,−12,0,19,−3.718
