Characteristic,Younger Healthy,Older Healthy,Group difference (p-value)
N,29,24,—
Age (M ± SD in years),25.8 ± 7.880,58 ± 7.587,<0.001*
Gender,"16 females, 13 males","16 females, 8 males",0.416
Education (M ± SD in years),16.4 ± 2.244,16.9 ± 2.857,0.476
Handedness,29 right,24 right,1
Translation in x (M ± SD in mm),0.038 ± 0.120,−0.022 ± 0.122,0.073
Translation in y (M ± SD in mm),0.001 ± 0.330,−0.075 ± 0.290,0.373
Translation in z (M ± SD in mm),0.003 ± 0.123,−0.009 ± 0.255,0.821
Rotation in x (M ± SD in degrees),−0.014 ± 0.185,0.090 ± 0.304,0.128
Rotation in y (M ± SD in degrees),−0.007 ± 0.089,-0.045 ± 0.153,0.270
Rotation in z (M ± SD in degrees),−0.022 ± 0.067,−0.023 ± 0.071,0.951
Euclidean norm of motion,0.053 ± 0.021,0.067 ± 0.029,0.054
DVARS,26.224 ± 4.294,27.123 ± 5.974,0.527
FWD,3.001 ± 1.473,3.928 ± 1.929,0.052
