MRI Scanner,MRI Scanner.1
Brazil,Philips Achieva 3.0 T
India,Philips Ingenia 3.0 T CX
Netherlands,GE 3.0 T Discovery MR750
South Africa,Siemens MAGNETOM Skyra 3.0 T
U.S.,GE 3.0 T SIGNA Premier
Head coil,32-channel or 48-channel#
MRI Sequences,MRI Sequences
Structural T1,3D sagittal T1-weighted MP-RAGE according to ADNI-3 protocol (1 × 1 × 1 mm resolution)
rs-fMRI,"T2*-weighted echo-planar images while subjects are awake and keep their eyes closed (10 min, TR = 2200 ms, TE = 28 ms, 3.3 × 3.3 mm in-plane resolution, 3 mm slices with 0.3 mm gap)"
DWI,"multi-shell single spin echo DWI (80 interleaved volumes: 7 b0, 25 b1000, 24 b2000, 24 b3000, 2.5 × 2.5 × 2.5 mm)"
PSIR,T1-weighted image with improved SNR and gray-white matter contrast (1 × 1 × 1 mm resolution)
