Clinical Domains,Measures
Obsessive-Compulsive Profiles,Obsessive-Compulsive Profiles
Total Severity,"Yale-Brown Obsessive-Compulsive Scale (Y-BOCS) [???, ???]; Obsessive-Compulsive Inventory-Ra [???]"
Dimension Severity,Dimensional Yale-Brown Obsessive-Compulsive Scale (DY-BOCS) [???]
Insight,Brown Assessment of Beliefs Scale (BABS) [???]
Sensory Phenomena,University of São Paulo Sensory Phenomena Scale (USP-SPS) [???]
Age of Onset,Structured Clinical Interview for DSM-5 (SCID) [???]; Center for OCD and Related Disorders Age of Onset and Course Form
Depression,Hamilton Depression Rating Scale (HAM-D) [???]
Anxiety,Hamilton Anxiety Rating Scale (HAM-A) [???]
Other Clinical Profiles,Autism Spectrum Quotienta [???]; Center for OCD and Related Disorders Tic Questionnaire; Disgust Propensity and Sensitivity Scalea [???]; Impulsive-Compulsive Behaviours Checklista [???]; Obsessive-Compulsive Personality Disorder Questionnaire
Functioning,World Health Organization Disability Assessment Schedule 2.0 (WHODAS) [???]
Environmental,Environmental
Socioeconomic Status,Work and Meaning Inventory (WAMI)a [???];
Trauma,Childhood Trauma Questionnairea [???]
Religiosity,Religious Behaviors and Beliefs Questionnairea [???];
