Unnamed: 0,CADASIL(n = 22),Controls(n = 44),P values
Male/Female,13/9,26/18,1
"Age at visit (years), mean ± SD",48.9 ± 14.2,48.4 ± 13.7,0.890
"Age at first symptom (years), mean ± SD",44.6 ± 12.4,–,–
"Family history, n (%)",20 (90.9),–,–
"Previous stroke or TIA (times), mean ± SD",2.0 ± 2.3,–,–
"Headache, n (%)",4 (18.2),–,–
"Vascular disease risk factors, n (%)",11 (50.0),–,–
"MMSE score, mean ± SD",23.5 ± 5.7,28.2 ± 1.3,0.001
"MoCA score, mean ± SD",20.4 ± 7.6,27.8 ± 1.3,0.000
"NIHSS score, mean ± SD",1.4 ± 2.1,–,–
"mRs score, mean ± SD",1.5 ± 1.2,–,–
"HAMD score, mean ± SD",6.8 ± 6.4,3.9 ± 1.7,0.052
"HAMA score, mean ± SD",5.7 ± 5.4,3.8 ± 1.7,0.112
