Unnamed: 0,CIs (n = 102),HCs (n = 101),p‐value
Demographics,,,
Gender (M/F),24/78,32/69,.194???
Age (years),45.5 (23),45 (21),.913???
Education (years),15 (12–16),16 (12–16),.067???
Clinical assessments,,,
Trail Making Test A,49 (29),50 (20),.883???
Trail Making Test B,126.5 (76),113 (72.25),.056???
RAVLT immediate recall,42 (14),44 ± 9.534,.011???
RAVLT delayed recall,3 (2),4 (2.25),<.001???
MoCA total score,24 (5),27 (4),<.001???
MoCA visual–executive function,4 (2),5 (1),<.001???
MoCA naming,3 (0),3 (0),.026???
MoCA attention,6 (2),6 (0.25),<.001???
MoCA language,2 (1),3 (1),.019???
MoCA abstraction,2 (1),2 (0),.023???
MoCA delayed recall,3 (2),4 (1),<.001???
MoCA orientation,6 (0),6 (0),>.999???
Digit Symbol Test (DST),46.471 ± 16.416,55 (17.25),.043???
Digit Span Test (DST),13 (3),14 (3),.020???
PSG sleep onset latency (min),30 (30),–,–
PSG sleep efficiency,0.71 (0.25),–,–
PSG total sleep time (h),5 (2),–,–
PSQI,13 (5),–,–
ISI,16 (7),–,–
