Unnamed: 0,Norm clustering coefficient,Nodal betweenness centrality of Crus II vermis
RAVLT delay recall,−.113 (.258),.047 (.638)
MoCA total score,.001 (.995),.027 (.788)
MoCA visual exe,.026 (.792),−.002 (.988)
MoCA attention,−.032 (.747),−.009 (.927)
MoCA delay recall,.018 (.858),.132 (.185)
PSG sleep onset latency,.078 (.436),.059 (.558)
PSG sleep efficiency,−.137 (.169),.065 (.514)
PSG total sleep time,−.245 (.013),.008 (.938)
PSQI,.236 (.017),.048 (.634)
ISI,.240 (.015),.022 (.827)
