Subnetwork,ROI Number AAL90 atlas,Description,Degree,Degree
Subnetwork,ROI Number AAL90 atlas,Description,DS Group,Control Group
DMNv,68,Precuneus_R,23.21,10.64
DMNv,67,Precuneus_L,22.56,11.17
Visual,48,Lingual_R,22.34,9.74
Visual,46,Cuneus_R,21.06,8.16
Visual,47,Lingual_L,20.93,9.33
Visual,45,Cuneus_L,20.25,10.58
SM,69,Paracentral_Lobule_L,20.22,7.53
SM,70,Paracentral_Lobule_R,20.01,7.59
Visual,44,Calcarine_R,19.47,3.78
Visual,51,Occipital_Mid_L,19.39,3.85
Visual,50,Occipital_Sup_R,19.16,6.72
DMNv,66,Angular_R,18.92,7.82
SM,19,Supp_Motor_Area_L,18.67,5.87
DMNv,55,Fusiform_L,18.66,5.97
Visual,52,Occipital_Mid_R,18.65,6.57
SM,20,Supp_Motor_Area_R,18.64,6.88
Visual,43,Calcarine_L,18.63,8.16
Visual,54,Occipital_Inf_R,18.37,9.05
DMNv,56,Fusiform_R,18.22,11.59
SM,7,Frontal_Mid_L,18.13,11.46
DMN,61,Parietal_Inf_L,17.8,5.54
Visual,49,Occipital_Sup_L,17.78,7.48
DMN,62,Parietal_Inf_R,17.75,10.97
DMN,59,Parietal_Sup_L,17.7,11.49
SM,1,Precentral_L,17.68,10.12
DMN,60,Parietal_Sup_R,17.46,11.06
DMNv,36,Cingulum_Post_R,16.78,7.32
SM,2,Precentral_R,16.66,6.87
SM,8,Frontal_Mid_R,16.35,9.43
DMNv,35,Cingulum_Post_L,15.89,9.01
DMN,86,Temporal_Mid_R,15.52,9.99
DMNv,65,Angular_L,15.36,10.27
SM,57,Postcentral_L,15.31,7.19
SM,58,Postcentral_R,15.3,7.89
DMNv,40,Parahippocampal_R,15.13,10.01
DMN,85,Temporal_Mid_L,14.88,9.37
Visual,53,Occipital_Inf_L,14.86,9.97
SM,64,Supramarginal_R,14.74,9.63
SM,63,Supramarginal_L,13.07,10.01
DMNa,29,Insula_L,12.1,9.86
DMNv,39,Parahippocampal_L,11.76,11.33
DMNa,30,Insula_R,11.74,11.54
DMNa,31,Cingulum_Ant_L,11.74,10.41
DMNa,32,Cingulum_Ant_R,10.24,9.76
DMNv,38,Hippocampus_R,8.86,11.4
DMNv,37,Hippocampus_L,8.77,10.23
DMNa,87,Temporal_Pole_Mid_L,6.03,10.31
DMNa,88,Temporal_Pole_Mid_R,5.77,10.26
