Reference,Participants,Characteristics of patients with CSVD,Characteristics of patients with CSVD,MRI acquisition params,BOLD pre-processing,FC analysis,FC patterns associated with CSVD,Risk of bias (AXIS)
Reference,Participants,Neuroimaging,Cognition,MRI acquisition params,BOLD pre-processing,FC analysis,FC patterns associated with CSVD,Risk of bias (AXIS)
[???],18 CSVD-CN16 CSVD-MCI,WMH and lacunes (clinical diagnosis),MMSECN 28.9 ± 1.3MCI 28.1 ± 1.4,"Philips Achieva, 3 TTR 2000 ms, TE 30 ms64 × 64 × []3.6 × 3.6 × 4 mm3220 volumeseyes open","DPARSF v2.0, SPM 5, REST[Confound regression]Motion scrubbing- Max motion > 1 mm/1°",PCC from external templateSCA to define DMNPearson correlation,"↓ FC in DMN in the left middle temporal gyrus, left ant. cingulate/left middle frontal gyrus, right caudate, right middle frontal gyrus, and left medial frontal gyrus/paracentral lobule↑ FC in DMN in the right inf. temporal gyrus, left middle temporal gyrus, left precentral gyrus, and left sup. parietal lobule",High (2)
[???],29 CSVD,"WMH (clinical diagnosis)WMH volumeVRF 0, 20.4 ± 19.3VRF 1, 27.3 ± 21.5VRF 3, 17.4 ± 19.5","MoCAVRF 0, 25.8 ± 3.5VRF 1, 22.0 ± 6.2VRF 3, 21.0 ± 5.4","Philips Achieva, 3 TTR 2000 ms, TE 30 ms64 × 64 × 403.6 × 2.9 × 3 mm3184–259 volumes, [eyes]",FSL v4.1Confound regression- ICAMotion scrubbing- ‘relative motion’ > 1.5 mm,"ICA to define DMN, SMN, medial-visual RSNPearson correlation",FC in DMN ↗ cardiovascular reactivity,Moderate (4)
[???],21 CSVD-CN16 CSVD-MCI13 SVaD,WMH (clinical diagnosis),MMSECN 28.9 ± 0.7MCI 26.3 ± 1.0SVaD 20.5 ± 2.3MoCACN 24.6 ± 2.9MCI 20.6 ± 2.8SVaD 15.1 ± 3.6,"Siemens, 3 TTR 2480 ms, TE 30 ms64 × 64 × 36, 3 × 3 × 4 mm3240 volumeseyes closed",SPM 8[Confound regression]Motion scrubbing- Head motion > 2 mm/2°,"AAL atlasPearson correlation, (extended) maximal information coefficientSVM classification",,High (3)
[???],46 CSVD41 CADASIL,"WMH volume0.3% [0.03, 3.1]% of intracranial volumeLacunes0 (0) [0–20]","MMSE median 29, IQR [???, ???]","Siemens Skyra/Prisma, 3 T, 64-/32-channel head coils, multi-band × 8TR 700 ms, TE 39 ms[matrix]3 × 3 × 3 mm32.4 × 2.4 × 2.4 mm3675–700 volumeseyes closed","FSL, ANTs, BRAMILA v2.0Confound regression- ICA-AROMA non-aggressive- Linear trend, 6 motion params- GSR: CSF, WMMotion scrubbing- Volume censoring (FD > 0.5 mm, total time < 5 min)","Power atlas to define DMN, FPCN, hand-SMN, VNPearson correlationgraph theory",No association between WMH and FCPoor reproducibility of network measures in CSVD,Moderate (6)
[???],33 MCI with confluent (C) WMH30 MCI with non-confluent (NC) WMH,FazekasC-WMH 8.0 ± 2.4NC-WMH 3.2 ± 1.2WMH volumeC-WMH 8.7 ± 9.2 mlNC-WMH 1.9 ± 1.5 ml,MMSEC-WMH 27.6 ± 1.5NC-WMH 27.8 ± 1.7,"Siemens Trio, 3 TTR 2000 ms, TE 30 ms[] × []× 36, 3 × 3 × 3 mm3240 volumes[eyes]","CONN 18bConfound regression- GSR: WM, CSF- Motion parametersMotion correction- Artefact Detection Tools- Spike regression (FD > 0.5 mm)","CONN atlas with 138 ROIs to define DMN, SMN, VN, DAN, FPCN language, and cerebellar networksBivariate correlation coefficients",↑ Interregional FC (C-WMH > NC-WMH)↑ Intra-regional FC (C-WMH > NC-WMH)Few ↓ interregional FC (C-WMH < NC-WMH),High (2)
[???],29 CSVD with gait disorder (GD+)29 CSVD without gait disorder (GD−),"Fazekas ≥2WMH volumeGD+, 6.12 mm3GD−, 3.53 mm3LacunesGD+, 7.45 ± 4.01GD−, 5.62 ± 3.35","MMSEGD+, 25.14 ± 3.24GD−, 25.69 ± 3.32","GE Signa, 3 T, 8-channel head coilTR 2000 ms, TE 30 ms64 × 64 × []3.75 × 3.75 × 4.6 mm3240 volumeseyes closed","DPABI, SPM 8Confound regression- Linear trend, 24p- GSR: CSF, WMMotion scrubbing- ‘displacement’ > 2.5 mm /2.5°",fALFFPearson correlationVBM,↓ FC between left SMA and temporal lobe (GC+ < GD−) ↗ gait speedfALFF in left SMA ↗ cadence,Moderate (4)
Healthy controls and patients with CSVD without mandatory cognitive impairment,Healthy controls and patients with CSVD without mandatory cognitive impairment,Healthy controls and patients with CSVD without mandatory cognitive impairment,Healthy controls and patients with CSVD without mandatory cognitive impairment,Healthy controls and patients with CSVD without mandatory cognitive impairment,Healthy controls and patients with CSVD without mandatory cognitive impairment,Healthy controls and patients with CSVD without mandatory cognitive impairment,Healthy controls and patients with CSVD without mandatory cognitive impairment,Healthy controls and patients with CSVD without mandatory cognitive impairment
[???],12 CSVD21 HC,Wahlund 8.3 ± 4.0Lacunes 1.9 ± 2.4,MMSE 27.6 ± 1.5,"[Scanner, field str.]TR 2300 ms, [TE][matrix], 3 × 3 × 4 mm3300 volumes[eyes]","FSL, AFNI, SPMB0 field map correctionConfound regression- Linear/quadratic trend- 6 motion parameters- GSR: WM, CSF signal[Motion scrubbing]",Eigenvector centrality,"↓ FC in ventromedial PFC, MCC, and sup. parietal lobe↑ FC in the cerebellar regions I–VIFC ↗ WMH in the middle temporal sulcus, inf. temporal gyrus, cerebellar lobules Crus II, VIIb, VIIIFC ↘ WMH in ventromedial PFC, SMA, PCC, and sup. parietal lobe",High (1)
[???],30 CSVD26 HC,Fazekas 1–3Lacunes excluded,MoCA 22.9 ± 3.4 (pooled),"Siemens, 3 TTR 2480 ms, TE 30 ms64 × 64 × 36, 3 × 3 × 4 mm3240 volumes, eyes closed",SPM 8[Confound regression]Motion scrubbing- Head movement > 2 mm/2°,ICA to define SMNvoxel-wise two-sample t test,"↓ FC in the right cingulate motor area, left posterior insula, and left ventral premotor area",High (2)
[???],28 CSVD30 HC,Fazekas 2.9 ± 1.2,MMSE 27.9 ± 1.6MoCA 25.7 ± 2.0,"Siemens Trio, 3 TTR 2000 ms, TE 30 ms64 × 64 × []3.5 × 3.5 × 3 mm3240 volumes[eyes]","SPM 8, DPABI, REST[Confound regression]Motion scrubbing- Head movement > 2 mm/2°","ALFF, SCA",↓ ALFF in the left parahippocampus↑ ALFF in the left inf. semi-lunar lobule and right frontal sup. orbital gyrus↑ FC between right insula–right sup. orbitofrontal gyrus and right calcarine–left parahippoca. gyrus,High (2)
[???],16 CSVD13 HC,"WMH (clinical diagnosis, Fazekas)",MMSE 23.7 ± 3.9MoCA 18.3 ± 4.1,"Siemens, 3 TTR 2000 ms, TE 30 ms64 × 64 × 353 × 3 × 3 mm3230 volumeseyes closed",SPM 8Confound regression- Linear trendMotion scrubbing- Head movement > 2 mm/2°,Regional homogeneity,"↓ ReHo in the left insula, right sup. temporal gyrus, Rolandic operculum, precentral gyrus, and cerebellum; bilateral ant. cingulate gyrus, ant. MCC, PFC, and SMA↑ ReHo values in the left middle temporal gyrus, cuneus and sup. occipital gyrus, and the bilateral angular gyrus, precuneus, postcentral gyrus, inf. and sup. parietal gyrus",Moderate (5)
[???],15 CSVD15 HC,"WMH (clinical diagnosis, Fazekas)",MMSE 23.7 ± 4.0MoCA 18.6 ± 4.1,"Siemens, 3 TTR 2000 ms, TE 30 ms64 × 64 × []3 × 3 × 4 mm3230 volumeseyes closed","DPABI v2.1Confound regression- Linear trend- 24p [???]- GSR: WM, CSF- Spike regressor (FD > 0.2 mm)Motion scrubbing- Mean FD > group mean + 2*SD","36 ROIs representing DMN, DAN, FPCN, SMN, VNPearson correlationNetwork-based statistics (NBS) [???]","↓ AN-SMN network FC↑ DAN-FPCN network FC↓ Edge FC SMN-AN, SMN-VN, FPCN-AN and DAN-VN pairs, and within AN and VN↑ Edge FC in DMN-AN, DMN-FPCN, and DAN-FPCN pairs",High (3)
[???],26 lacunar stroke patients19 HC,Fazekas ≥2Lacunes 1–17 (6)WMH 33 ± 34 ml,History of lacunar stroke syndrome,"Siemens Verio, 3 T, 32-channel head coilTR 2430 msTE 1/2/3 13/31/48 ms64 × 64 × 343.75 × 3.75 × 4.18 mm3269 volumes, eyes open","SPM, CONNConfound regression- Motion parameters [details]- GSR: WM, CSF[Motion scrubbing]",Desikan–Killiany parcellationPearson correlationProbab. tractographyGraph theory,No difference in FC or brain network topology,Moderate (6)
[???],36 CSVD31 HC,Fazekas ≥2,MMSEHC 28.4 ± 1.8CSVD 26.4 ± 3.7,"Siemens Verio, 3 T, 12-channel head coilTR 2000 ms, TE 25 ms64 × 64 × [z]3.75 × 3.75 × 4 mm3[volumes], [eyes]","DPARSF, SPM 8Confound regression- 6 head motions params- GSR: global, WM, CSFMotion scrubbing- Head movement > 2 mm/2°",AAL 90Pearson correlationGraph theoryNBS,↓ Global FC↑ Characteristic path length↓ Global efficiency,High (0)
Healthy controls and patients with CSVD with mandatory cognitive impairment,Healthy controls and patients with CSVD with mandatory cognitive impairment,Healthy controls and patients with CSVD with mandatory cognitive impairment,Healthy controls and patients with CSVD with mandatory cognitive impairment,Healthy controls and patients with CSVD with mandatory cognitive impairment,Healthy controls and patients with CSVD with mandatory cognitive impairment,Healthy controls and patients with CSVD with mandatory cognitive impairment,Healthy controls and patients with CSVD with mandatory cognitive impairment,Healthy controls and patients with CSVD with mandatory cognitive impairment
[???],26 svMCI28 HC,Wahlund ≥ 2± lacunes,Subjective complaintsMMSE 25.7 ± 2.7,"Siemens, 3 TTR 2000 ms, TE 40 ms64 × 64 × 284 × 4 × 5 mm3239 volumeseyes closed","SPM 5Confound regression- Linear trend- 6 motion profiles- GSR: WM, CSFMotion scrubbing- Head movement > 3 mm/3°","ALFF, SCA, FC densityPearson correlation (only positive)","↓ ALFF in bilateral medial PFC↑ ALFF in right PCC, precuneus, right hippocampus, right thalamus↓ FC in DMN (PCC/precuneus, medial PFC, sup. frontal gyrus, inf. parietal lobule and hippocampus) and inferior/middle frontal gyrus",High (2)
[???],21 svMCI26 HC,Wahlund ≥ 2± lacunes,Subjective complaintsMMSE 25.5 ± 2.7,"Siemens, 3 TTR 2000 ms, TE 40 ms64 × 64 × 284 × 4 × 5 mm3239 volumeseyes closed","SPM 5 and 8, REST, DARTELConfound regression- Linear trend- 6 motion profiles- GSR: WM, CSFMotion scrubbing- Head movement > 3 mm/3°- Volume censoring (FD > 0.3 mm, < 3 min)",H-1024 parcellationPearson correlationGraph theory,"↑ Characteristic path length, ↑ modularity↑ Within-module degree in the medial PFC, left insula, and cuneus↓ Within-module degree in the middle cingulate gyrus↑ Participation coefficient in the left inferior/superior parietal cortex",High (1)
[???],37 PiB+ AD37 PiB− SVaD13 mixed dementia65 HC,Fazekas (severe),"MMSEPiB+ AD, 18.1 ± 4.2PiB− SVaD, 21.5 ± 4.3MD, 17.9 ± 4.9HC, 28.9 ± 1.2","Philips Achieva, 3 T, 8-channel head coilTR 3000 ms, TE 35 ms[matrix], 1.7 × 1.7 × 4 mm3100 volumes, eyes open",AFNIDespiking[Confound regression]Motion scrubbing- Max FD > 0.3 mm- Head movement > 2 mm/2°,ICA to define DMN and FPCNW-score maps,↓ FC in DMN in the left superior frontal gyrus↓ FC in FPCN in the left insula,Moderate (5)
[???],32 CSVD-CI23 HC,Fazekas 2–3± lacunes,MMSE 23.8 ± 2.7,"GE Signa, 3 TTR 2000 ms, TE 30 ms64 × 64 × []3.75 × 3.75 × 4.6 mm3240 volumeseyes closed","SPM 8, DPARSF, CONNConfound regression- compCor- GSR: global signal[Motion scrubbing]",Medial PFC and thalamus from ext. templateSCAPearson correlation,"↓ FC between the left thalamus and right sup. temporal gyrus, left sup. frontal gyrus, left and putamen↓ FC between the right thalamus and left inferior temporal gyrus↑ FC between the bilateral thalamus and right inferior/middle frontal gyri↓ FC between the med. PFC and bilateral SMA, thalamus, left sup. frontal gyrus, ACC, sup. parietal lobe, and hippocampus",High (2)
[???],14 CSVD-CN27 CSVD-MCI12 SVaD30 HC,Fazekas (cut-off not specified),MMSECSVD-CN 29.1 ± 1.0CSVD-MCI 27.2 ± 2.4SVaD 23.3 ± 3.4,"Siemens, 3 TTR 2000 ms, TE 30 ms64 × 64 × 32, 4 × 4 × 3.7 mm3[volumes], eyes closed",SPM 8[Confound regression]Motion scrubbing- Head movement > 2 mm/2°,"ICA to define DMN, SN, FPCNSCA from the right fronto-insular cortex",↓ FC between SN-DMN↑ FC between SN-FPCN and within SN,High (3)
[???],36 CSVD50 AD55 HC,WMH volumesvMCI 22.6 ± 6.1 mlSVaD 44.8 ± 10.1 mlLacunessvMCI 6.5 ± 7.5SVaD 7.4 ± 7.2MicrobleedssvMCI 13.4 ± 18.7SVaD 26.0 ± 49.2,MMSEsvMCI 25.4 ± 3.7SVaD 17.4 ± 4.2,"Siemens, 3 TTR 3000 ms, TE 35 ms[matrix]3.4 × 3.4 × 3.4 mm3200 volumes[eyes]","SPM 12No smoothingConfound regression- Motion parameters- Linear trend- GSR: WM, CSFMotion scrubbing- Volume censoring (FD > 1 mm, > 30%)",Schaefer 400 atlasPearson correlationAV1451 tau-PET,"FC ↗ tau covariance, no associations with WMH",Moderate (7)
[???],25 CSVD-CN24 CSVD-MCI36 HC,"Fazekas ≥2± lacunesWMHCN 3.0 (0.76, 4.0) mlMCI 4.8 (0.76, 5.6) ml",MMSECN 28.4 ± 1.3MCI 27.8 ± 2.1MoCACN 26.1 ± 0.5MCI 21.4 ± 0.5,"Philips, 3 TTR 2000 ms, TE 30 ms64 × 64 × 353.75 × 3.75 × 4 mm3230 volumeseyes closed","GRETNA v2.0, SPM 8Confound regression- Linear trend, 24p- GSR: GS, WM, CSFMotion scrubbing- Head movement > 2 mm/2°","H-1024 parcellationPearson correlationGraph theory to define DMN, FPCN, SMN, and VN",No robust associations,Moderate (4)
