Diagnosis N,Demographical,Demographical,Demographical,Demographical,Demographical,Demographical,Cognition,Cognition,Cognition,Cognition,Unnamed: 11_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,Sex (%),Age (years),Ethnicity,Marital status,ΑΡΟΕε4 status,Education (years),CDR-sum of boxes at baseline,MMSE,MoCA,ADAS-Cog
aMCI,92.0,48 Females,72.28±7.62,85 White,67 Married,51 Negative,16.22±2.80,1.64±1.03,27.92±1.81,23.53±3.11,9.51±4.31
,,(52.2),(56–89),2 Hispanic,11 Divorced,29 Positive,(8–20),(0.5–4.0),(23–30),(14–29),(1–22)
,,,,1 African American,11 Widowed,11 Other,,,,,
,,,,2 Mixed,3 Never married,1 Missing,,,,,
,,,,2 Asian,,,,,,,
,,,,,,,,,,,
pMCI,19.0,10 Females,71.84±6.67,19 White,17 Married,6 Negative,16.00±2.45,2.74±0.93,27.58±1.77,22.37±2.83,12±4.62
,,(52.6),(57–79),,1 Widowed,9 Positive,(12–20),(1.0–4.0),(24–30),(15–28),(5–22)
,,,,,1 Never married,4 Other,,,,,
,,,,,,,,,,,
sMCI,66.0,35 Females,73.08±7.87,61 White,45 Married,41 Negative,16.05±2.84,1.42±1.04,27.94±1.83,23.77±3.18,9.10±4.08
,,(53.0),(56–89),2 Hispanic,10 Divorced,17 Positive,(8–20),(0.5–4.0),(23–30),(14–29),(1–20)
,,,,1 African American,10 Widowed,7 Other,,,,,
,,,,1 Mixed,1 Never married,1 Missing,,,,,
,,,,1 Asian,,,,,,,
,,,,,,,,,,,
rMCI,7.0,3 Females,66.00±4.76,5 White,5 Married,4 Negative,18.43±2.70,0.79±0.57,28.71 ±1.70,24.43±2.70,6.71 ±2.63
,,(42.9),(60–73),1 Mixed,1 Divorced,,(14–20),(0.5–2.0),(25–30),(19–27),(3–10)
,,,,1 Asian,1 Never married,3 Positive,,,,,
