Type of brain graph,Edge features,Node features
① GMM & sMRI,GMM,sMRI
② GMM & fMRI,GMM,fMRI
③ GMM & sMRI + fMRI,GMM,sMRI + fMRI
④ FBM & sMRI,FBM,sMRI
⑤ FBM & fMRI,FBM,fMRI
⑥ FBM & sMRI + fMRI,FBM,sMRI + fMRI
⑦ GMM-FBM & sMRI,GMM-FBM,sMRI
⑧ GMM-FBM & fMRI,GMM-FBM,fMRI
⑨ GMM-FBM & sMRI + fMRI,GMM-FBM,sMRI + fMRI
