Measure,Effect,AAL3 Brain Region
FC,Increased,Precentral_R
FC,Increased,Frontal_Inf_Oper_R
FC,Increased,Occipital_Inf_R
FC,Increased,Postcentral_R
FC,Increased,Parietal_Sup_L
FC,Increased,Parietal_Sup_R
FC,Increased,Caudate_L
FC,Increased,Caudate_R
FC,Increased,Putamen_L
FC,Increased,Putamen_R
FC,Increased,Pallidum_L
FC,Increased,Temporal_Sup_L
FC,Increased,Temporal_Sup_R
FC,Increased,Thal_AV_L
FC,Increased,Thal_AV_R
FC,Increased,Thal_LP_R
FC,Increased,Thal_VPL_L
FC,Increased,Thal_PuL_R
FC,Increased,SN_pr_L
FC,Decreased,Parietal_Inf_R
FC,Decreased,Cerebellum_3_R
FC,Decreased,Cerebellum_7b_R
FC,Decreased,Red_N_L
FC,Decreased,Red_N_R
FC,Decreased,LC_L
FC,Decreased,Raphe_D
