Unnamed: 0_level_0,Unnamed: 1_level_0,Segregation type,Segregation type,Segregation type,Segregation type
Unnamed: 0_level_1,Unnamed: 1_level_1,APOE,APOE,Amyloid,Amyloid
Group,Unnamed: 1_level_2,At-risk,Healthy,At-risk,Healthy
Size (n),,33,68,20,81
Age (years),Mean,64.67,64.76,70.30,63.36
,Range,53–78,42–82,55–82,42–79
Gender (n female),Gender (n female),20,43,15,48
MMSE,Mean,28.97???,29.50???,28.80???,29.46???
,Std,1.51,0.91,1.58,1.00
Cross-task RT,Mean,859.65,868.88,876.68,863.19
,Std,108.26,97.10,121.99,95.07
Cross-task zRT,Mean,−0.0074,−0.0073,−0.0069,−0.0074
,Std,0.021,0.012,0.019,0.014
Cross-task Acc,Mean,96.63???,97.63???,96.28???,97.56???
,Std,2.91,1.43,3.42,1.50
