Method,Parameters,PT,Classifier,Acc ± SD (%),Sens (%),Spec (%)
MDS,p = 3,0.3,RSVM,68.4 ± 1.3,51.1,77.8
MDS,p = 3,0.36,LSVM,58.6 ± 1.7,28.8,78.9
MDS,p = 3,0.3,k-NN,63.2 ± 2.1,51.0,68.8
MDS,p = 3,0.3,ANN,63.6 ± 2.6,50.7,69.8
ISOMAP,"p = 2, k = 5",0.24,RSVM,74.4 ± 1.9,69.4,73.1
ISOMAP,"p = 2, k = 5",0.28,LSVM,64.4 ± 1.7,55.8,67.1
ISOMAP,"p = 2, k = 5",0.24,k-NN,71 ± 2.1,62.9,72.7
ISOMAP,"p = 2, k = 5",0.24,ANN,68.8 ± 3,63.1,68.6
Diffusion maps,"p = 4, \documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$$\sigma$$\end{document}σ = 0.325",0.52,RSVM,79.3 ± 1.2,74.1,77.9
Diffusion maps,"p = 4, \documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$$\sigma$$\end{document}σ = 0.325",0.56,LSVM,72.2 ± 1.7,66.6,71.8
Diffusion maps,"p = 4, \documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$$\sigma$$\end{document}σ = 0.325",0.52,k-NN,74.7 ± 1.4,72.3,71.5
Diffusion maps,"p = 4, \documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$$\sigma$$\end{document}σ = 0.325",0.52,ANN,78.6 ± 2,74.1,76.8
kPCA,"p = 4, \documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$$\gamma$$\end{document}γ = 0.575",0.42,RSVM,69.5 ± 1.6,45.4,84.3
kPCA,"p = 4, \documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$$\gamma$$\end{document}γ = 0.575",0.3,LSVM,59.5 ± 2.4,19.1,88.6
kPCA,"p = 4, \documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$$\gamma$$\end{document}γ = 0.575",0.42,k-NN,67.1 ± 1.9,51.7,75.1
kPCA,"p = 4, \documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$$\gamma$$\end{document}γ = 0.575",0.42,ANN,69.4 ± 2.4,60.3,72.0
LLE,"p = 4, k = 7",0.46,RSVM,68.3 ± 1.9,49.0,79.4
LLE,"p = 4, k = 7",0.46,LSVM,69.2 ± 1.4,48.6,81.3
LLE,"p = 4, k = 7",0.26,k-NN,66.1 ± 2.2,52.8,71.5
LLE,"p = 4, k = 7",0.46,ANN,70.7 ± 1.3,56.0,77.9
Cross corr. matrix,–,0.52,RSVM,69.5 ± 1.5,77.1,58.3
Cross corr. matrix,–,0.52,LSVM,71 ± 1.5,75.8,61.9
Cross corr. matrix,–,0.34,k-NN,67.2 ± 2.2,57.8,70.1
Cross corr. matrix,–,0.52,ANN,68.8 ± 1.6,68.3,64.3
