Brain Areas,MNI Coordinates,MNI Coordinates,MNI Coordinates,Voxels,BA,Peak T Values
Brain Areas,x,y,z,Voxels,BA,Peak T Values
One-way ANOVA,One-way ANOVA,One-way ANOVA,One-way ANOVA,One-way ANOVA,One-way ANOVA,One-way ANOVA
Left OSFG,−24,2,−15,69,-,3.7166
DR vs HC,DR vs HC,DR vs HC,DR vs HC,DR vs HC,DR vs HC,DR vs HC
Bilateral Caudate/Olfactory/OSFG,12,21,−15,939,-,4.5818
Bilateral CAL/ left LING,−3,−72,9,433,"17,18",−4.1422
DM vs HC,DM vs HC,DM vs HC,DM vs HC,DM vs HC,DM vs HC,DM vs HC
Left fusiform,−33,−45,−9,140,-,−4.0305
Left superior frontal gyrus,−9,30,36,143,-,3.6485
