Sites,Total,MDD (F),HC (F),Age MDD,Age HC,EDL MDD,EDL HC,Illness duration (months),HAMD total scores,FED/non-FED/unknown,Medication (Y/N)
Discovery,Discovery,Discovery,Discovery,Discovery,Discovery,Discovery,Discovery,Discovery,Discovery,Discovery,Discovery
Site A,318,149 (92),169 (103),28.05 (8.87),24.99 (4.92),13.80 (3.20),15.66 (2.66),7.00,22.34 (4.43),90 / 54 / 0,41 / 108
Site B,104,39 (32),65 (39),31.36 (10.07),29.37 (10.42),11.11 (2.89),13.05 (2.39),8.00,26.15 (6.22),36 / 1 / 2,11 / 28
Site C,95,63 (42),32 (17),30.49 (7.14),29.59 (5.00),13.70 (3.37),14.59 (2.82),6.00,21.29 (3.45),63 / 0 / 0,0 / 63
Site D,93,31 (18),62 (35),31.03 (9.79),34.95 (11.85),12.06 (2.63),13.13 (2.05),32.04,20.94 (4.96),2 / 29 / 0,
Site E,138,71 (40),67 (39),31.42 (8.09),30.76 (7.89),13.90 (2.91),15.16 (2.27),3.00,24.82 (4.85),,
Site F,40,20 (17),20 (13),38.60 (10.51),44.25 (11.58),11.75 (3.88),10.80 (4.83),11.50,23.25 (2.59),11 / 9 / 0,19 / 1
Site G,47,23 (12),24 (12),32.26 (7.57),28.75 (4.58),14.22 (3.79),14.79 (2.75),4.00,21.91 (3.03),23 / 0 / 0,
Site H,26,11 (7),15 (9),27.18 (8.50),28.47 (10.89),12.91 (4.11),14.67 (3.54),36.00,23.27 (6.54),6 / 5 / 0,0 / 11
Site I,65,28 (15),37 (22),37.68 (8.97),35.81 (9.52),11.63 (4.01),16.09 (3.25),18.00,22.82 (4.16),22 / 6 / 0,22 / 6
Site J,12,6 (4),6 (2),28.83 (13.21),26.83 (2.86),12.50 (2.43),17.00 (1.55),25.00,22.50 (3.62),2 / 4 / 0,0 / 6
Site K,35,29 (24),6 (1),34.21 (9.35),31.33 (2.25),12.72 (2.83),13.67 (0.82),12.00,24.28 (4.71),19 / 10 / 0,0 / 29
Site L,42,22 (12),20 (8),35.18 (10.30),24.35 (7.07),11.68 (2.82),13.30 (2.13),25.50,23.45 (5.60),,20 / 2
Replication,Replication,Replication,Replication,Replication,Replication,Replication,Replication,Replication,Replication,Replication,Replication
Site M,382,198 (132),184 (121),35.70 (10.11),32.40 (11.99),11.29 (3.18),13.95 (3.61),24.00,21.90 (4.49),163 / 35 / 0,82 / 116
Total,1397,690 (479),707 (421),32.45 (9.76),30.43 (10.22),12.54 (3.38),14.41 (3.20),–,–,–,–
