Hypothalamic Region,DTI Metric,HC,MI,Age (F; p),Sex (F; p),Group (F; p),R2—adj (%)
Anterior Left,FA,0.174 ± 0.054,0.159 ± 0.070,0.01; 0.930,0.36; 0.551,0.16; 0.694,0.0
Anterior Left,MD,1.520E − 03 ± 3.788E − 04,1.706E − 03 ± 6.391E − 04,1.35; 0.255,1.71; 0.202,0.17; 0.683,4.95
Anterior Left,AD,1.696E − 03 ± 4.514E − 04,1.806E − 03 ± 7.044E − 04,1.79; 0.192,0.71; 0.406,0.04; 0.848,0.36
Anterior Left,RD,1.433E − 03 ± 3.282E − 04,1.577E − 03 ± 6.369E − 04,2.38; 0.135,2.98; 0.096,0.03; 0.896,12.14
Posterior Left,FA,0.280 ± 0.161,0.116 ± 0.062,0.67; 0.421,1.30; 0.265,7.44; 0.01,28.25
Posterior Left,MD,1.576E − 03 ± 5.042E − 04,2.939E − 03 ± 4.739E − 04,0.21; 0.652,0.44; 0.513,35.94; <0.001,63.07
Posterior Left,AD,1.825E − 03 ± 4.961E − 04,3.190E − 03 ± 5.345E − 04,0.05; 0.822,0.16; 0.695,34.24; <0.001,61.03
Posterior Left,RD,1.468E − 03 ± 5.208E − 04,2.815E − 03 ± 4.070E − 04,0.02; 0.890,0.73; 0.402,41.33; <0.001,65.04
Anterior Right,FA,0.179 ± 0.065,0.190 ± 0.117,0.00; 0.946,0.03; 0.868,0.22; 0.643,0.0
Anterior Right,MD,1.361E − 03 ± 2.672E − 04,1.834E − 03 ± 8.640E − 04,5.24; 0.030,0.03; 0.870,0.44; 0.514,18.84
Anterior Right,AD,1.514E − 03 ± 2.860E − 04,2.046E − 03 ± 9.858E − 04,6.90; 0.014,0.01; 0.942,0.24; 0.625,22.41
Anterior Right,RD,1.281E − 03 ± 2.571E − 04,1.984E − 03 ± 8.173E − 04,4.62; 0.041,0.19; 0.668,0.33; 0.573,16.07
Posterior Right,FA,0.319 ± 0.133,0.117 ± 0.058,0.48; 0.493,0.55; 0.465,15.46; 0.001,43.32
Posterior Right,MD,1.754E − 03 ± 5.962E − 04,2.868E − 03 ± 4.083E − 04,0.79; 0.381,2.14; 0.156,21.82; <0.001,53.62
Posterior Right,AD,2.073E − 03 ± 5.808E − 04,3.145E − 03 ± 4.572E − 04,0.37; 0.550,1.57; 0.221,20.95; <0.001,50.54
Posterior Right,RD,1.608E − 03 ± 6.013E − 04,2.795E − 03 ± 3.166E − 04,0.15; 0.703,2.46; 0.129,30.48; <0.001,58.82
