Brain region,"Peak coordinate (Anterior commissure as origin, unit: 0.1 mm)","Peak coordinate (Anterior commissure as origin, unit: 0.1 mm)","Peak coordinate (Anterior commissure as origin, unit: 0.1 mm)",Volume (voxels),T-peak
Unnamed: 0_level_1,x,y,z,Unnamed: 4_level_1,Unnamed: 5_level_1
Bilateral hippocampal FC,Bilateral hippocampal FC,Bilateral hippocampal FC,Bilateral hippocampal FC,Bilateral hippocampal FC,
Left thalamus,27,6,–39,66,5.1308
Right thalamus,–18,3,–39,73,5.5627
Septum; left BNST,0,9,9,57,5.807
Right BNST,–12,–6,3,34,5.1342
Left S1FL; M1,30,48,9,110,4.8684
Inferior colliculus,9,42,–81,39,5.2872
Left hippocampal FC,Left hippocampal FC,Left hippocampal FC,Left hippocampal FC,Left hippocampal FC,
Left thalamus,15,18,–36,51,5.2352
Right thalamus,–21,6,–39,56,5.1748
Septum; left BNST,0,6,6,51,5.3491
Right BNST,–12,–3,3,43,4.9559
Left S1FL,30,48,9,96,4.5596
Inferior colliculus,12,42,–78,30,4.8301
Right hippocampal FC,Right hippocampal FC,Right hippocampal FC,Right hippocampal FC,Right hippocampal FC,
Left thalamus,27,6,–39,31,5.1277
Right thalamus,–18,3,–39,58,5.5843
Septum,0,9,9,39,5.3961
Left S1FL,30,48,9,79,4.5682
Inferior colliculus,9,42,–81,35,5.2091
