Region,MNI coordinates,MNI coordinates,MNI coordinates,t,Cluster size
Region,x,y,z,t,Cluster size
Positive correlation,Positive correlation,Positive correlation,Positive correlation,Positive correlation,Positive correlation
Left lingual gyrus (LG),− 30,− 87,− 18,4.19,84
Right lingual gyrus (LG),24,− 92,− 16,3.83,42
Right postcentral,42,− 39,57,4.03,51
Negative correlation,Negative correlation,Negative correlation,Negative correlation,Negative correlation,Negative correlation
Left Orbital Frontal cortex (OFC),− 18,24,− 12,− 3.63,79
Right Orbital Frontal cortex (OFC),21,36,− 9,− 4.31,126
Left Inferior Temporal gyrus (ITG),− 42,− 15,− 21,− 4.23,134
