Group,Network,Regions
1,ICN01,Limbic and medial-temporal areas
Emotional and autonomic processes,ICN02,"Subgenual anterior cingulate cortex, orbitofrontal cortex"
Emotional and autonomic processes,ICN03,Basal ganglia and thalamus
Emotional and autonomic processes,ICN04,"Anterior insula, frontal opercula, anterior cingulate cortex (SN)"
,ICN05,Midbrain
2,ICN06,"Premotor and supplementary motor area, frontal eye field"
"Motor and visuospatial integration, coordination, execution",ICN07,"Dorsolateral prefrontal cortex, posterior parietal cortex"
"Motor and visuospatial integration, coordination, execution",ICN08,Primary sensorimotor cortices (extremities)
"Motor and visuospatial integration, coordination, execution",ICN09,Medial posterior parietal association areas
3,ICN10,Middle temporal visual association areas
Visual perception,ICN11,"Primary, secondary and tertiary visual cortices"
Visual perception,ICN12,"Primary, secondary and tertiary visual cortices"
4,ICN13,Medial prefrontal and posterior cingulate cortex (DMN)
Divergent networks,ICN14,Cerebellum
,ICN15,Right-lateralized fronto-parietal regions (right FPN)
,ICN16,"Transverse temporal gyri, primary auditory cortices"
,ICN17,Primary sensorimotor cortices (mouth)
,ICN18,Left-lateralized fronto-parietal regions (left FPN)
