Unnamed: 0,FO(n = 19),5-MTHF(n = 10),Placebo (n = 14),FO + 5-MTHF(n = 14)
Mothers’ characteristics,,,,
"Age, years",29.68 (4.73),34.15 (5.77),31.86 (3.25),30.68 (4.81)
"BMI (20 w), kg/m2",25.96 (3.67),24.87 (2.13),25.63 (2.47),26.40 (2.89)
"BMI (30 w), kg/m2",28.47 (4.19),26.64 (2.07),27.50 (2.50),28.46 (2.59)
"BMI (delivery), kg/m2",29.98 (4.58),27.81 (2.05),29.08 (3.08),29.39 (2.86)
"Weight gain, kg",10.64 (3.65),7.67 (3.31),8.86 (3.16),7.25 (4.61)
"Relative weight gain, %",15.45 (5.14),12.08 (6.30),13.49 (5.15),10.99 (7.33)
Education *,,,,
Mother,8 (42.1),2 (50.00),4 (50.00),4 (44.45)
Father,11 (57.9),2 (50.00),4 (50.00),5 (55.55)
"Parity, n (%)",,,,
0,13 (68.42),5 (50.0),7 (50.0),6 (42.86)
≥1,6 (31.58),5 (50.0),7 (50.0),8 (57.14)
"Smoking (20 w), n (%)",5 (26.32),1 (10.0),0 (0.0),4 (28.57)
"Gravidity risk at 20 w, n (%)",,,,
No risk factors,3 (15.79),3 (30.0),5 (38.46),3 (21.43)
≥1 risk factor,16 (84.21),7 (70.0),8 (61.54),11 (78.57)
Delivery risk,,,,
No risk factors,6 (31.58),4 (40.0),7 (53.85),5 (35.71)
≥1 risk factor,13 (68.42),6 (60.0),6 (46.15),9 (64.29)
Children’s characteristics,,,,
"Age, years",9.67 (0.26),9.76 (0.20),9.75 (0.19),9.69 (0.22)
"BMI, kg/m2",19.45 (4.22),17.64 (2.60),17.76 (2.87),19.08 (2.87)
"Sex, n (%)",,,,
Female,8 (42.11),7 (70.0),3 (21.43),6 (42.86)
Male,11 (57.89),3 (30.0),11 (78.57),8 (57.14)
