Unnamed: 0_level_0,IGD,RGU,Unnamed: 3_level_0,Group difference
Unnamed: 0_level_1,N = 174Male = 102Female = 72,N = 244Male = 149Female = 95,t,p-value
Demographics (M ± SD),Demographics (M ± SD),,,
Age (year),21.20 ± 2.441,21.56 ± 2.478,1.652,0.099
Years of education,14.57 ± 1.474,14.61 ± 1.402,−0.223,0.823
Clinical characteristics (M ± SD),Clinical characteristics (M ± SD),,,
IAT,65.72 ± 8.783,40.09 ± 10.571,27.00,<0.001
DSM,6.12 ± 1.145,2.53 ± 1.430,27.093,<0.001
Gaming time (hours/week),8.27 ± 3.616,6.17 ± 3.024,5.808,<0.001
Gaming history (year),3.72 ± .640,3.73 ± .698,−0.130,0.894
Craving,51.79 ± 17.304,34.77 ± 16.280,9.253,<0.001
