Unnamed: 0,BPD+CD+ (n = 20),BPD−CD+ (n = 19),BPD+CD− (n = 10),BPD−CD− (n = 20),F/X2 value,p-value
"Age, years (SD)",31 (7),31 (6),31 (13),32 (8),0.173,0.914
"Gender: male, n (%)",15 (75),18 (94),5 (50),18 (90),10.16,<0.05
"Education, median",High school,Junior high school,Technical degree,Technical degree,11.98,<0.01
"Economic status???, median",D+,C,C/C+,C,4.071,0.254
"Employment, n (%)","Employment, n (%)","Employment, n (%)","Employment, n (%)","Employment, n (%)","Employment, n (%)","Employment, n (%)"
Full-time,7 (35.0),8 (42.1),2 (20.0),10 (50.0),22.27,0.220
"Half-time, formal",2 (10.0),4 (21.1),2 (20.0),2 (10.0),,
"Half-time, informal",5 (25.0),5 (26.3),2 (20.0),2 (10.0),,
Student,1 (5.0),2 (10.5),4 (40.0),4 (20.0),,
Housekeeper,–,–,–,1 (5.0),,
Home,2 (10.0),–,–,–,,
Unemployed,3 (15.0),–,–,1 (5.0),,
"Marital status, n (%)","Marital status, n (%)","Marital status, n (%)","Marital status, n (%)","Marital status, n (%)","Marital status, n (%)","Marital status, n (%)"
Unmarried,7 (35.0),8 (42.1),6 (60.0),10 (50.0),3.331,0.766
With partner,6 (30.0),6 (31.6),2 (20.0),7 (35.0),,
Divorced/separated,7 (35.0),5 (26.3),2 (20.0),3 (15.0),,
"Laterality: right-handed, n (%)",19 (95.0),14 (73.7),10 (100),17 (85.0),6.392,0.381
