Connectivity analysis factor,Area,Cluster size (voxels),Maximum,Maximum,Maximum,Maximum
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,MNI coordinates,MNI coordinates,MNI coordinates
Unnamed: 0_level_2,Unnamed: 1_level_2,Unnamed: 2_level_2,Significance (p),X,Y,Z
lAmy—mPFC,lAmy—mPFC,lAmy—mPFC,lAmy—mPFC,lAmy—mPFC,lAmy—mPFC,lAmy—mPFC
Interaction,Right frontopolar cortex,6,0.032,−3,48,−21
Cocaine,Right frontopolar cortex,42,0.008,0,51,−15
Borderline personality disorder,Right frontopolar cortex,1,0.055,−3,51,−9
rAmy-lIns,rAmy-lIns,rAmy-lIns,rAmy-lIns,rAmy-lIns,rAmy-lIns,rAmy-lIns
Interaction,,,,,,
Cluster 1,Left insula,3,0.015,−30,9,−12
Cluster 2,Left insula,2,0.037,−36,−9,9
Cluster 3,Left insula,1,0.049,−39,−12,−12
