Variable,PD-ICD (n = 21),PD-noICD (n = 33),HCs (n = 37),p,Post hoc (Bonferroni)
Age (y),59.0 ± 9.6,61.7 ± 9.3,62.0 ± 5.6,0.378b,
Gender (M/F),12/9,20/13,25/12,0.700a,
Education (y),11.4 ± 3.1,10.3 ± 3.3,12.2 ± 3.8,0.085c,
Disease duration (y),9.0 ± 5.2,7.1 ± 3.0,—,0.241d,
Age at onset (y),50.9 ± 10.1,54.2 ± 9.7,—,0.235e,
Affected side at onset right% (n),47.6% (10),42.4% (14),—,0.708a,
UPDRS part 3,20.3 ± 14.2,18.5 ± 11.3,—,0.518d,
H-Y stage,2.3 ± 0.7,2.2 ± 0.6,—,0.580d,
LEDDTOTAL (mg),770.7 ± 310.8,636.1 ± 271.5,—,0.085d,
LEDDDA (mg),90.5 ± 57.4,68.6 ± 50.7,—,0.150e,
DA %,85.70%,78.50%,—,0.523a,
QUIP-RS total score,13.0 ± 5.9,0,—,"<0.0001d, ***",
BIS,33.1 ± 15.6,29.7 ± 15.3,—,0.495d,
MMSE,28.3 ± 1.1,28.0 ± 1.5,29.1 ± 0.9,"0.002c, **",PD-ICD < HC (p = 0.015) PD-noICD < HC (p = 0.006)
HAMA,14.0 ± 8.9,11.2 ± 6.1,2.3 ± 3.3,"<0.0001c, ***",PD-ICD < HC (p < 0.0001) PD-noICD < HC (p < 0.0001)
HAMD-24,12.6 ± 8.2,9.5 ± 7.0,1.7 ± 2.5,"<0.0001c, ***",PD-ICD < HC (p < 0.0001) PD-noICD < HC (p < 0.0001)
FAB,16.2 ± 2.0,16.4 ± 2.5,17.0 ± 1.3,0.232c,
