Region A,Region B,MGAD,SEGAD,MHC,SEHC,∆M,95% CI,df,t,p,padj
PCC,vmPFC,0.81,0.04,0.86,0.03,0.05,"[− 0.05, 0.15]",52.4,1.01,0.316,1
PCC,dmPFC,0.43,0.05,0.49,0.05,0.06,"[− 0.07, 0.18]",53.0,0.85,0.399,0.797
AI,dACC,0.69,0.03,0.71,0.05,0.03,"[− 0.08, 0.14]",44.3,0.48,0.636,1
dlPFC,Amygdala,0.2,0.04,0.3,0.03,0.11,"[0.01, 0.2]",51.5,2.16,0.036†,0.215
AI,vmPFC,0.41,0.04,0.52,0.03,0.11,"[0.01, 0.21]",52.5,2.18,0.034†,0.136
PMI,vmPFC,0.29,0.05,0.47,0.04,0.18,"[0.06, 0.3]",48.9,2.94,0.005††,0.02††
Amygdala,dACC,0.18,0.03,0.26,0.04,0.07,"[− 0.02, 0.17]",50.4,1.53,0.132,0.791
Amygdala,TP,0.45,0.03,0.52,0.03,0.07,"[− 0.01, 0.16]",52.9,1.69,0.097,0.584
Amygdala,vmPFC,0.33,0.04,0.43,0.03,0.1,"[0, 0.2]",52.5,1.99,0.052,0.314
Amygdala,AI,0.25,0.04,0.32,0.03,0.07,"[− 0.02, 0.16]",46.5,1.58,0.12,0.719
Amygdala,PMI,0.33,0.03,0.43,0.03,0.1,"[0.01, 0.19]",49.6,2.26,0.029†,0.171
