Unnamed: 0,Unnamed: 1,Disease duration,CRP,ESR,Calpro,CDAI
MAP-MSD in PHG.L,r,−0.03,−0.33,−0.21,0.01,−0.61
,P,0.93,0.26,0.47,0.99,0.02???
MAP-NG in ROL.L,r,0.77,0.15,0.24,0.09,0.36
,p,0.001???,0.61,0.40,0.77,0.21
MAP-NG in THA.R,r,0.08,0.36,0.30,0.05,0.53
,p,0.76,0.21,0.29,0.87,0.019???
MAP-NGAx in ROL.L,r,0.76,0.09,0.19,0.08,0.36
,p,0.001???,0.77,0.52,0.78,0.21
MAP-NGRad in INS.L,r,0.74,0.34,0.32,0.17,0.32
,p,0.001???,0.23,0.27,0.56,0.27
MAP-QIV in PHG.L,r,−0.03,0.30,0.25,0.03,0.70
,p,0.91,0.29,0.39,0.92,0.005???
MAP-RTAP in ROL.L,r,0.62,−0.14,−0.06,0.21,0.06
,p,0.01???,0.63,0.85,0.46,0.84
MAP-RTOP in ROL.L,r,0.63,−0.04,0.05,0.18,0.04
,p,0.009???,0.88,0.86,0.54,0.90
MAP-RTOP in THA.L,r,−0.10,0.60,0.33,0.10,0.02
,p,0.71,0.023???,0.25,0.75,0.94
MAP-RTPP in PHG.R,r,0.19,0.25,0.56,−0.57,0.23
,p,0.47,0.39,0.037???,0.032???,0.44
