RSNs and domain names,IC Number,MNI Peak
Auditory (AU),,
Left superior temporal gyrus,6.0,"(-62, −20, 10)"
,,
Cerebellar (CB),,
Anterior lobe,4.0,"(0, −44, −15)"
,,
Cognitive Control (CC),,
Left insula,7.0,"(-38, 10, −20)"
Left temporal pole,9.0,"(–32, 12, −35)"
Posterior cingulate cortex,11.0,"(0, −28, 10)"
Left dorsolateral prefrontal cortex,13.0,"(-48, 44, 10)"
Left frontal eye field,14.0,"(0, 44, 50)"
Right angular gyrus,15.0,"(48, −58, 55)"
Left Broca operculum,23.0,"(-52, 18, 30)"
Left dorsolateral prefrontal cortex,24.0,"(-50, 20, −5)"
Supplementary motor area,30.0,"(2, 20, 65)"
Right fusiform gyrus,32.0,"(62, −50, 10)"
Left visuomotor cortex,41.0,"(-42, −64, 55)"
Right insula,43.0,"(50, 18, −5)"
,,
Default Mode (DM),,
Anterior prefrontal cortex,21.0,"(0, 54, 10)"
Left orbitofrontal cortex,22.0,"(-2, 36, −15)"
Posterior cingulate cortex,36.0,"(0, −50, 20)"
Right angular gyrus,39.0,"(48, −76, 30)"
,,
Sensorimotor (SM),,
Primary motor cortex,1.0,"(58, −6, 30)"
Supplementary motor area,16.0,"(2, 14, 45)"
Primary sensory cortex,25.0,"(50, −28, 60)"
Supplementary motor area,31.0,"(0, −24, 75)"
Left precuneus,40.0,"(-6, −58, 70)"
,,
Visual (VI),,
Right secondary visual cortex,12.0,"(24, −100, −10)"
Left ventral posterior cingulate cortex,17.0,"(-12, −58, 5)"
Secondary visual cortex,27.0,"(0, −82, −5)"
Left fusiform gyrus,35.0,"(-48, −38, −20)"
Secondary visual cortex,37.0,"(0, −94, 25)"
