Unnamed: 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1. Age,–,,,,,,,,,,,,,
2. IQ,0.068,–,,,,,,,,,,,,
3. Substance Use,−0.036,0.116,–,,,,,,,,,,,
4. TCL Factor 1,−0.10,0.204**,0.145,–,,,,,,,,,,
5. TCL Factor 2,−0.055,0.031,0.183*,0.219**,–,,,,,,,,,
6. TCL Total,−0.034,0.144,0.200**,0.885***,0.649***,–,,,,,,,,
7. UES Total,−0.123,0.028,0.379**,−0.219†,0.352**,0.347**,–,,,,,,,
8. IC6 High Freq.,0.086,0.100,0.147*,0.083,0.247**,0.183*,0.056,–,,,,,,
9. IC7 High Freq.,0.043,0.156,0.151*,0.059,0.277***,0.179*,0.024,0.646***,–,,,,,
10. IC9 High Freq.,0.104,0.119,0.099,0.144,0.191*,0.204**,−0.077,0.523***,0.713***,–,,,,
11. RADS Total,−0.036,0.121,0.048,0.132,0.129,0.160†,0.133,0.011,0.013,0.150,–,,,
12. Anxiety,−0.053,−0.007,0.006,0.019,−0.120,−0.042,−0.034,−0.043,−0.018,−0.035,0.107,–,,
13. Mood,0.021,0.208**,0.36,0.171*,−0.124,0.074,−0.127,−0.031,−0.034,0.026,0.247*,0.107,–,
14. PTSD,−0.158*,−0.039,0.067,0.077,0.029,0.074,0.059,−0.104,−0.110,−.143,0.147,−0.041,0.104,–
15. ADHD,−0.002,0.166*,0.084,0.102,−0.075,0.044,0.142,−0.101,−0.126,−0.076,0.173†,−0.040,0.313***,0.180*
