Unnamed: 0,Unnamed: 1,Unnamed: 2,X,Y,Z,K,T score
From SMN,From SMN,From SMN,From SMN,From SMN,From SMN,From SMN,From SMN
R postcentral gyrus,→,L middle temporal gyrus,−51,−6,−12,13,−4.2655
,,R putamen,33,0,−3,25,−4.1288
L postcentral gyrus,→,R precuneus,21,−60,21,63,−4.2511
,,L precuneus,−15,−60,27,31,−3.9393
L midcingulate cortex,→,L insula,−48,12,0,10,−4.2464
,,R paracentral lobule,9,−29,69,46,4.7412
To SMN,To SMN,To SMN,To SMN,To SMN,To SMN,To SMN,To SMN
R postcentral gyrus,←,primary visual cortex,−15,−66,24,206,4.3687
L postcentral gyrus,←,R precuneus,21,−60,21,19,4.3862
L midcingulate cortex,←,R putamen,27,18,6,40,4.4374
