Brain regions (AAL),Brain regions (AAL),Brodmann area (BA),Peak MNI coordinates,Peak MNI coordinates,Peak MNI coordinates,Cluster,Peak T value
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,x,y,z,Unnamed: 6_level_1,Unnamed: 7_level_1
Amygdala_L,Amygdala_L,,,,,,
Three groups,Frontal_Sup_Medial_L,8.0,−9,42,57.0,19.0,11.75
SPE vs. NPE,Frontal_Sup_Medial_L,8.0,−9,36,54.0,19.0,3.73
SPE vs. HC,Frontal_Sup_Medial_L,8.0,−9,42,57.0,20.0,4.46
NPE vs. HC,No cluster,,,,,,
Amygdala_R,Amygdala_R,,,,,,
Three groups,Postcentral_R,4.0,60,0,18.0,15.0,10.32
SPE vs. NPE,No cluster,,,,,,
SPE vs. HC,Rolandic_Oper_L,43.0,−57,−6,9.0,20.0,3.79
,Rolandic_Oper_R,4.0,60,0,18.0,33.0,3.85
,Precentral_R,6.0,42,−6,48.0,21.0,3.51
NPE vs. HC,Temporal_Sup_L,22.0,−63,−24,3.0,12.0,3.77
,Postcentral_R,44.0,60,0,18.0,13.0,3.82
,Frontal_Sup_Medial_L,8.0,0,42,48.0,20.0,−3.98
