Brain regions (AAL),Brain regions (AAL).1,PEDT scores,EPQ-N scores
Amygdala_L,Amygdala_L,,
Three groups,Frontal_Sup_Medial_L,"r = 0.03, P = 0.82","r = −0.40, P = 0.00**"
SPE vs. NPE,Frontal_Sup_Medial_L,"r = 0.33, P = 0.02*","r = −0.38, P = 0.01**"
SPE vs. HC,Frontal_Sup_Medial_L,"r = 0.03, P = 0.82","r = −0.40, P = 0.00**"
NPE vs. HC,No cluster,,
Amygdala_R,Amygdala_R,,
Three groups,Postcentral_R,"r = 0.22, P = 0.11","r = 0.11, P = 0.44"
SPE vs. NPE,No cluster,,
SPE vs. HC,Rolandic_Oper_L,"r = −0.20, P = 0.15","r = −0.23, P = 0.10"
,Rolandic_Oper_R,"r = 0.22, P = 0.11","r = 0.11, P = 0.44"
,Precentral_R,"r = 0.02, P = 0.89","r = −0.08, P = 0.44"
NPE vs. HC,Temporal_Sup_L,"r = 0.07, P = 0.61","r = 0.31, P = 0.02*"
,Postcentral_R,"r = 0.02, P = 0.89","r = 0.11, P = 0.44"
,Frontal_Sup_Medial_L,"r = 0.10, P = 0.49","r = −0.22, P = 0.17"
