Hemisphere,From,To,Pp,Ep
LH,RSC,pPPA,0.98,0.54
,aPPA,RSC,0.98,−0.58
,aHC,RSC,0.99,−0.94
,aHC,aPPA,0.99,−0.65
,pPPA,RSC,0.99,−1.00
,pPPA,aPPA,0.99,1.07
,pHC,aHC,0.99,0.57
RH,RSC,aPPA,0.99,0.92
,RSC,pPPA,1.0,−1.29
,aPPA,aHC,0.99,−0.35
,aHC,RSC,0.99,−0.91
,pPPA,aPPA,1.0,1.13
