Network,ROI,ROI name,Number,MNI center,MNI center.1,MNI center.2
DMN,MPFC,Medial prefrontal cortex,1,1,55,−3
,LP(L),Left paracentral lobule,2,−39,−77,33
,LP(R),Right paracentral lobule,3,47,−67,29
,PCC,Posterior cingulate cortex,4,1,−61,38
SMN,Lateral(L),Left Lateral,5,−55,−12,29
,Lateral(R),Right Lateral,6,56,−10,29
,Superior,Superior,7,0,−31,67
VN,Mdial,Mdial,8,2,−79,12a
,Occipital,Occipital,9,0,−93,−4
,Lateral(L),Left Lateral,10,−37,−79,10
,Lateral(R),Right Lateral,11,38,−72,13
SN,ACC,Anterior cingulate cortex,12,0,22,35
,Alnsula(L),Left anterior insula,13,−44,13,1
,Alnsula(R),Right anterior insula,14,47,14,0
,RPFC(L),Left rostrolateral prefrontal cortex,15,−32,45,27
,RPFC(R),Right rostrolateral prefrontal cortex,16,32,46,27
,SMG(L),Left supramarginal gyrus,17,−60,−39,61
,SMG(R),Right supramarginal gyrus,18,62,−35,32
DAN,FEF(L),Left frontal eye field,19,−27,−9,64
,FEF(R),Right frontal eye field,20,30,−6,64
,IPS(L),Left intraparietal sulcus,21,−39,−43,52
,IPS(R),Right intraparietal sulcus,22,39,−42,54
FPN,LPFC(L),Left lateral prefrontal cortex,23,−43,44,28
,PPC(L),Left posterior parietal cortex,24,−46,−58,49
,LPFC(R),Right lateral prefrontal cortex,25,41,38,30
,PPC(R),Right posterior parietal cortex,26,52,−52,45
