Unnamed: 0,ADHD,Control,Difference
Participants wave 1 (% male),54 (63%),60 (45%),χ2 = 0.31
Participants wave 2 (% male),53 (75%),52 (56%),χ2 = 0.00
Participants wave 3 (% male),38 (45%),40 (58%),χ2 = 0.05
"Age wave 1, Mean (SD)",10.36 (0.46),10.37 (0.46),t = 0.02
"Age wave 2, Mean (SD)",11.77 (0.55),11.70 (0.53),t = −2.11
"Age wave 3, Mean (SD)",13.24 (0.63),13.22 (0.62),t = −0.95
"Mean head motion wave 1, Mean (SD)",0.96 (0.16),0.92 (0.10),t = −1.73
"Mean head motion wave 2, Mean (SD)",0.77 (0.17),0.81 (0.17),t = 1.83
"Mean head motion wave 3, Mean (SD)",0.31 (0.09),0.29 (0.05),t = −1.28
"DSM inattentive symptoms, Mean (SD)",7.00 (1.61),0.87 (1.52),t = 21.00???
"DSM hyperactive/impulsive symptoms, Mean (SD)",5.79 (2.20),1.08 (1.74),t = 11.91???
"Conner 3 ADHD index, Mean (SD)",14.00 (4.12),1.21 (2.36),t = 19.11???
ADHD medication wave 1 (%),11 (20%),‐,‐
ADHD medication wave 2 (%),11 (20%),‐,‐
ADHD medication wave 3 (%),4 (10%),‐,‐
