dFC within cerebellum,Variability of dFC,Variability of dFC,p-value,Effect size (Cohen’s d)
dFC within cerebellum,HCG,LCG,p-value,Effect size (Cohen’s d)
L.I-IV–L.VIIb,0.21 ± 0.06,0.27 ± 0.05,0.0006,1.09
R.V–R.VIIIa,0.17 ± 0.06,0.23 ± 0.06,0.0004,1.0
R.V–V.VIIIb,0.21 ± 0.06,0.27 ± 0.06,0.0006,1.0
L.VI–V.VI,0.12 ± 0.05,0.17 ± 0.06,0.0008,0.91
L.VI–L.Crus II,0.15 ± 0.05,0.23 ± 0.09,0.0004,1.1
L.VI–L.VIIb,0.13 ± 0.04,0.19 ± 0.06,0.0004,1.18
L.VI–V.IX,0.23 ± 0.06,0.29 ± 0.04,0.0002,1.18
V.VI–R.VI,0.12 ± 0.04,0.18 ± 0.05,0.0002,1.33
R.VI–V.VIIb,0.19 ± 0.06,0.26 ± 0.05,0.0004,1.27
R.VI–V.VIIIa,0.17 ± 0.05,0.23 ± 0.07,0.0006,0.99
L.VIIb–L.IX,0.22 ± 0.07,0.28 ± 0.05,0.0006,0.99
L.VIIIa–V.VIIIa,0.17 ± 0.07,0.24 ± 0.06,0.0006,1.07
