dFC within cerebellum,Averaged dFC,Averaged dFC,p-value,Effect size (Cohen’s d)
dFC within cerebellum,HCG,LCG,p-value,Effect size (Cohen’s d)
L.I-IV–L.X,0.53 ± 0.16,0.36 ± 0.17,0.0008,1.03
R.I-IV–V.IX,0.53 ± 0.13,0.35 ± 0.20,0.0004,1.07
L.VI–V.VI,0.78 ± 0.07,0.69 ± 0.11,0.0004,0.98
L.VI–L.Crus I,0.79 ± 0.07,0.64 ± 0.17,0.0002,1.15
L.VI–L.Crus II,0.73 ± 0.12,0.57 ± 0.16,0.0004,1.13
L.VI–R.Crus II,0.66 ± 0.10,0.51 ± 0.18,0.0008,1.03
L.VI–L.VIIb,0.78 ± 0.07,0.67 ± 0.10,< 0.0001,1.27
V.VI–R.VIIb,0.68 ± 0.12,0.57 ± 0.12,0.0006,0.92
R.VI–L.Crus I,0.71 ± 0.10,0.57 ± 0.16,0.0006,1.05
R.VI–L.Crus II,0.66 ± 0.14,0.50 ± 0.15,0.0006,1.1
R.VI–R.Crus II,0.70 ± 0.09,0.56 ± 0.15,< 0.0001,1.13
R.VI–R.VIIb,0.73 ± 0.09,0.63 ± 0.12,0.0004,0.94
R.VI–V.VIIIa,0.64 ± 0.12,0.52 ± 0.14,0.0006,0.92
L.Crus II–L.VIIb,0.83 ± 0.06,0.71 ± 0.14,0.0002,1.11
L.Crus II–V.VIIb,0.50 ± 0.18,0.32 ± 0.16,0.0006,1.06
V.VIIb–R.VIIb,0.52 ± 0.16,0.36 ± 0.12,0.0004,1.13
L.VIIIa–V.VIIIa,0.67 ± 0.16,0.50 ± 0.13,< 0.0001,1.17
L.VIIIa–V.VIIIb,0.56 ± 0.18,0.40 ± 0.16,0.0002,0.94
L.VIIIb–V.VIIIb,0.59 ± 0.15,0.45 ± 0.11,0.0006,1.06
