Outcome measures,"VA, n = 28","SA, n = 32",p value???,"SC, n = 29","PB, n = 30",p value???.1,"AG, n = 60","SC, n = 29.1",p value???.2,"AG, n = 60.1","PB, n = 30.1",p value???.3,"AG, n = 60.2","WL, n = 30",p value???.4
"VAS M (P25, P75)","VAS M (P25, P75)","VAS M (P25, P75)","VAS M (P25, P75)","VAS M (P25, P75)","VAS M (P25, P75)","VAS M (P25, P75)","VAS M (P25, P75)","VAS M (P25, P75)","VAS M (P25, P75)","VAS M (P25, P75)","VAS M (P25, P75)","VAS M (P25, P75)","VAS M (P25, P75)","VAS M (P25, P75)","VAS M (P25, P75)"
End of treatment,"2.50 (1.00, 3.00)","3.00 (2.00, 3.00)",0.465,"3.00 (1.50, 3.00)","3.00 (3.00, 4.00)",0.013,"3.00 (2.00, 3.00)","3.00 (1.50, 3.00)",0.870,"3.00 (2.00, 3.00)","3.00 (3.00, 4.00)",0.015,"3.00 (2.00, 3.00)","3.00 (2.00, 3.25)",0.330
End ‐ baseline,"−2.00 (−3.00, −1.00)","−1.25 (−2.75, −0.63)",0.181,"−2.00 (−3.00, −1.00)","−1.00 (−2.00, 0.00)",0.002,"−2.00 (−3.00, −1.00)","−2.00 (−3.00, −1.00)",0.609,"−2.00 (−3.00, −1.00)","−1.00 (−2.00, 0.00)",0.001,"−2.00 (−3.00, −1.00)","−1.00 (−2.00, 0.00)",0.015
"SF‐MPQ M (P25, P75)","SF‐MPQ M (P25, P75)","SF‐MPQ M (P25, P75)","SF‐MPQ M (P25, P75)","SF‐MPQ M (P25, P75)","SF‐MPQ M (P25, P75)","SF‐MPQ M (P25, P75)","SF‐MPQ M (P25, P75)","SF‐MPQ M (P25, P75)","SF‐MPQ M (P25, P75)","SF‐MPQ M (P25, P75)","SF‐MPQ M (P25, P75)","SF‐MPQ M (P25, P75)","SF‐MPQ M (P25, P75)","SF‐MPQ M (P25, P75)","SF‐MPQ M (P25, P75)"
End of treatment,"3.00 (1.50, 3.00)","3.00 (3.00, 4.00)",0.388,"5.00 (4.00, 7.00)","6.00 (5.00, 8.00)",0.333,"5.00 (3.00, 7.75)","5.00 (4.00, 7.00)",0.316,"5.00 (3.00, 8.00)","6.00 (5.00, 8.00)",0.073,"5.00 (3.00, 8.00)","6.00 (4.75, 7.00)",0.342
End ‐ baseline,"−4.00 (−7.00, −3.00)","−4.00 (−5.00, −2.00)",0.227,"−4.00 (−6.00, −2.00)","−2.00 (−3.63, 0.00)",0.002,"−4.00 (−7.00, −2.13)","−4.00 (−6.00, −2.00)",0.961,"−4.00 (−7.00, −2.13)","−2.00 (−3.63, 0.00)",<0.001,"−4.00 (−7.00, −2.13)","−2.00 (−4.25, −1.00)",0.002
"WOMAC M (P25, P75)","WOMAC M (P25, P75)","WOMAC M (P25, P75)","WOMAC M (P25, P75)","WOMAC M (P25, P75)","WOMAC M (P25, P75)","WOMAC M (P25, P75)","WOMAC M (P25, P75)","WOMAC M (P25, P75)","WOMAC M (P25, P75)","WOMAC M (P25, P75)","WOMAC M (P25, P75)","WOMAC M (P25, P75)","WOMAC M (P25, P75)","WOMAC M (P25, P75)","WOMAC M (P25, P75)"
End of treatment,"14.00 (4.00, 31.00)","14.50 (6.50, 24.25)",0.441,"15.00 (8.00, 28.50)","17.50 (8.75, 17.50)",0.739,"13.50 (5.00, 23.50)","15.00 (8.00, 28.50)",0.283,"11.50 (2.50, 23.50)","17.50 (8.75, 17.50)",0.149,"11.50 (2.50, 23.50)","16.00 (11.25, 21.50)",0.191
End ‐ baseline,"−13.50 (−20.50, −7.00)","−13.00 (−24.25, −3.50)",0.876,"−16.00 (−27.00, −8.50)","−5.00 (−13.25, −2.00)",0.004,"−13.00 (−21.75, −6.00)","−16.00 (−27.00, −8.50)",0.346,"−13.00 (−21.75, −6.00)","−5.00 (−13.25, −2.00)",0.023,"−13.00 (−21.75, −6.00)","−6.50 (−17.25, −1.00)",0.047
"SF‐12 score M (P25, P75)","SF‐12 score M (P25, P75)","SF‐12 score M (P25, P75)","SF‐12 score M (P25, P75)","SF‐12 score M (P25, P75)","SF‐12 score M (P25, P75)","SF‐12 score M (P25, P75)","SF‐12 score M (P25, P75)","SF‐12 score M (P25, P75)","SF‐12 score M (P25, P75)","SF‐12 score M (P25, P75)","SF‐12 score M (P25, P75)","SF‐12 score M (P25, P75)","SF‐12 score M (P25, P75)","SF‐12 score M (P25, P75)","SF‐12 score M (P25, P75)"
End of treatment,"36.00 (32.00, 41.00)","37.00 (35.25, 40.75)",0.699,"39.00 (35.50, 40.50)","38.00 (36.00, 40.00)",0.516,"37.00 (35.00, 41.00)","39.00 (35.50, 40.50)",0.533,"37.00 (34.00, 41.00)","38.00 (36.00, 40.00)",0.767,"37.00 (34.00, 41.00)","37.50 (36.75, 38.25)",0.928
End ‐ baseline,"2.00 (−0.75, 5.00)","2.00 (0.25, 5.00)",0.806,"1.00 (0.00, 4.00)","1.50 (0.00, 2.50)",0.566,"1.00 (0.00, 4.00)","1.00 (0.00, 4.00)",0.518,"1.00 (0.00, 4.00)","1.50 (0.00, 2.50)",0.192,"1.00 (0.00, 4.00)","0.50 (−0.25, 2.25)",0.024
