Domain,Category,z-score
Youth,,
Action,Execution (speech),8.06
Cognition,Language (speech),5.98
Action,Execution (unspecified),5.25
Cognition,Language (semantics),3.19
Elder,,
Action,Execution (unspecified),11.33
Action,Execution (speech),9.65
Perception,Somesthesis (pain),8.18
Perception,Somesthesis (unspecified),7.62
Cognition,Language (speech),3.51
