ROI,Brain region,"MNI coordinates x, y, and z","MNI coordinates x, y, and z.1","MNI coordinates x, y, and z.2",Number of voxels,Peak intensity
lSTG.p,L putamen/L caudate nucleus,-18,24,-3,397,5.174
rSTG.p,L putamen/L caudate nucleus,-15,21,-3,328,4.147
rMTG.p,Bl lingual gyri/R calcarine,-18,-84,-6,700,3.486
lSMG.a,L inferior frontal gyrus,-21,30,-9,535,4.21
lAG,Bl calcarine cortices/L posterior cingulate cortex,-9,-66,9,1042,3.861
lLG,R cerebellum posterior lobe,30,-78,-45,592,4.021
,L caudate nucleus,-12,24,-3,647,5.312
,L middle frontal gyrus,-27,24,60,512,4.634
rLG,R cerebellum posterior lobe,30,-75,-42,590,4.068
,L middle frontal gyrus,-27,24,60,381,4.705
lPT,L caudate nucleus/L putamen,-15,21,-9,364,4.48
lOP,L caudate nucleus/L putamen,-6,3,-21,321,4.147
