Day,Cluster,Sub-regions,Cluster size,t-value,Paxino's atlas,Paxino's atlas,Paxino's atlas
Unnamed: 0_level_1,(Total),Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,x,y,z
3.0,Cluster 1,,80,−4.2917,2.4818,4.9159,3.0021
,,Right-orbital cortex,80,−4.2917,2.4818,4.9159,3.0021
,Cluster 2,,402,5.4930,3.2489,0.8785,−3.7179
,,Right-visual cortex,87,5.1701,3.1171,1.0547,−4.1979
,,Right-sensory cortex,110,5.4734,3.5018,0.7093,−3.2379
,Cluster 3,,248,4.2736,−0.6197,1.1396,−4.1979
,,Left-retrosplenial cortex,163,4.2736,−0.6197,1.1396,−4.1979
,Cluster 4,,99,4.7769,−2.1034,−0.1988,−3.2379
,,Left-parietal association cortex,69,4.7769,−2.1034,−0.1988,−3.2379
7.0,Cluster 1,,164,−5.5104,1.4882,2.8678,7.3221
,,Right-olfactory bulb,144,−5.5104,1.4882,2.8678,7.3221
31.0,Cluster 1,,154,−5.1868,−4.4751,3.5214,−5.6379
,,Left-hippocampus,154,−5.1868,−4.4751,3.5214,−5.6379
,Cluster 2,,53,4.4788,5.6206,2.6984,−1.3179
,,Right-sensory cortex,53,4.4788,5.6206,2.6984,−1.3179
