Unnamed: 0,APS(n = 17),HC(n = 18),HC(n = 18).1,t/X2,p
Age (years),22.94 ± 3.39,25.22 ± 3.68,25.22 ± 3.68,− 1.987,.054
Education level (years),13.18 ± 1.84,12.78 ± 2.26,12.78 ± 2.26,.565,.576
BMI (kg/m2),20.58 ± 1.88,21.15 ± 1.70,21.15 ± 1.70,−.953,.347
"Gender, Male(%)",8 (47.06),8 (44.44),8 (44.44),.024,.573
PANSS,PANSS,PANSS,PANSS,PANSS,PANSS
Positive,13.18 ± 1.19,,,,
Negative,12.18 ± 3.59,,,,
General Pychopathology,24.47 ± 2.37,,,,
GAF score,57.05 ± 3.63,,,,
"Family History of Psychosis Disorder, n (%)",5 (27.77),,,,
"Primary SIPS-defined prodromal status, n (%)",,,,,
Attenuated Positive Symptom State (APSS),17 (100),,,,
