Unnamed: 0_level_0,Unnamed: 1_level_0,MNI,MNI,MNI,Unnamed: 5_level_0,Unnamed: 6_level_0
Condition,Brain regions,x,y,z,Peak T-scores,Cluster size (voxels)
ROI in R_CER_8,ROI in R_CER_8,ROI in R_CER_8,ROI in R_CER_8,ROI in R_CER_8,ROI in R_CER_8,ROI in R_CER_8
PACG < HC,R_IPL,45,−54,42,−5.3942,7070
PACG < HC,L_IFG,−51,39,−9,−3.7121,196
PACG < HC,R_SFG,18,−3,57,–4.2058,485
ROI in L_CER_4-5,ROI in L_CER_4-5,ROI in L_CER_4-5,ROI in L_CER_4-5,ROI in L_CER_4-5,ROI in L_CER_4-5,ROI in L_CER_4-5
PACG < HC,R_CER_8,15,−54,−60,−4.858,1990
PACG > HC,R_CER_4_5,15,–21,−24,5.1884,653
PACG < HC,L_MFG,−39,60,12,−4.5478,1076
PACG < HC,R_MFG,39,45,15,−3.2698,57
PACG < HC,L_PreCUN,−9,−66,42,−5.0912,4947
ROI in R_CER_8,ROI in R_CER_8,ROI in R_CER_8,ROI in R_CER_8,ROI in R_CER_8,ROI in R_CER_8,ROI in R_CER_8
PACG < HC,L_INS,–42,3,0,–4.4446,723
PACG < HC,L_ACC,3,39,9,–4.1039,652
PACG < HC,R_ANG,21,–60,45,–4.4087,477
PACG < HC,L_PreCUN,–12,–63,39,–4.7861,988
ROI in B_LING/CAL/SOG,ROI in B_LING/CAL/SOG,ROI in B_LING/CAL/SOG,ROI in B_LING/CAL/SOG,ROI in B_LING/CAL/SOG,ROI in B_LING/CAL/SOG,ROI in B_LING/CAL/SOG
PACG < HC,R_CER,18,–39,–60,–4.3662,469
PACG < HC,L_CAL,18,–96,–15,–3.3303,171
PACG < HC,R_PostCG,30,–33,54,–4.4334,4396
ROI in R_PostCG,ROI in R_PostCG,ROI in R_PostCG,ROI in R_PostCG,ROI in R_PostCG,ROI in R_PostCG,ROI in R_PostCG
PACG < HC,L_STG,-30,15,–36,–3.6386,44
PACG < HC,L_INS,–36,–15,–12,–4.5824,593
PACG < HC,L_IFG,–51,39,–9,–3.5894,73
PACG < HC,R_CAL,18,–78,9,–5.1517,6779
PACG < HC,L_IFG,–33,33,3,–3.4947,48
