Score,Method,MAE Train,MAE Test,NMI Train,NMI Test,R2 Test
ADOS,Median,,2.33 ± 2.01,,0.0,1e−31
ADOS,BC & LSTM-ANN,0.68 ± 0.57,4.36 ± 3.36,0.89,0.29,0.01
ADOS,ICA & LSTM-ANN,0.9 ± 0.54,2.47 ± 2.04,0.91,0.41,0.25
ADOS,BrainNet CNN,1.90 ± 0.086,3.50 ± 2.20,0.96,0.25,0.17
ADOS,Decoupled,1.34 ± 0.51,3.93 ± 2.10,0.68,0.29,0.06
ADOS,Without DTI regularization,0.25 ± 0.099,3.50 ± 3.09,0.99,0.17,0.02
ADOS,Deep sr-DDL,0.2 ± 0.09,2.99 ± 1.99,0.99,0.37,0.23
SRS,Median,,16.81 ± 12.8,,0.0,1e−30
SRS,BC & LSTM-ANN,5.10 ± 4.61,18.05 ± 14.22,0.92,0.83,0.09
SRS,ICA & LSTM-ANN,5.27 ± 3.32,13.64 ± 12.69,0.76,0.59,0.008
SRS,BrainNet CNN,5.25 ± 2.5,18.96 ± 15.65,0.83,0.75,0.018
SRS,Decoupled,2.10 ± 2.98,21.45 ± 13.73,0.76,0.78,0.002
SRS,Without DTI regularization,0.72 ± 0.61,22.20 ± 14.78,0.95,0.65,0.08
SRS,Deep sr-DDL,1.21 ± 0.66,18.70 ± 13.51,0.98,0.85,0.12
Praxis,Median,,10.53 ± 8.81,,0.0,1e−29
Praxis,BC & LSTM-ANN,6.61 ± 3.30,17.49 ± 9.08,0.86,0.7,0.01
Praxis,ICA & LSTM-ANN,4.56 ± 1.26,15.02 ± 11.80,0.82,0.6,0.0122
Praxis,BrainNet CNN,3.78 ± 0.59,15.15 ± 11.49,0.95,0.19,0.009
Praxis,Decoupled,1.57 ± 1.12,21.67 ± 12.02,0.75,0.25,0.003
Praxis,Without DTI regularization,0.61 ± 0.29,18.56 ± 14.32,0.96,0.65,0.08
Praxis,Deep sr-DDL,0.62 ± 0.36,14.99 ± 10.17,0.95,0.82,0.10
