Items,TAO group (n = 30),HCs (n = 30),p-value
Age (years),43.27 ± 14.20,43.47 ± 13.62,0.956
Gender (female/male),18/12,18/12,>0.999
Disease duration (months),10.03 ± 11.53,-,
CAS,3.17 ± 1.05,-,
FT3 (pmol/L),4.67 ± 0.76,4.92 ± 0.96,0.337
FT4 (pmol/L),16.39 ± 2.83,16.80 ± 2.09,0.529
TSH (mIU/L),1.77 ± 1.83,1.63 ± 1.13,0.679
Visual acuity,0.76 ± 0.15,0.97 ± 0.15,<0.001
Exophthalmos (mm),20.20 ± 3.57,-,
QoL scores,QoL scores,QoL scores,QoL scores
Visual functioning,56.98 ± 31.36,-,
Appearance,65.60 ± 21.27,-,
Total score of HARS,17.13 ± 7.95,2.50 ± 1.20,<0.001
Total score of HDRS,16.53 ± 6.95,2.33 ± 1.67,<0.001
Total score of MoCA,25.87 ± 3.35,28.77 ± 1.10,<0.001
