Reagent type (species) or resource,Designation,Source or reference,Identifiers,Additional information
Genetic reagent (Rattus norvegicus),Lewis rat,Janvier labs,LEW/OrlRj,Female 160–200 gr
"Chemical compound, drug",PBS tabletts,gibco,18912–014,
"Chemical compound, drug",xylocaine,AstraZeneca,PUN080440,2%
"Chemical compound, drug",isoflurane,AbbVie,8506 CHEBI:6015,1–1.55%
"Chemical compound, drug",Oregon-Green BAPTA1 AM,Invitrogen Thermo Fisher scientific,O6807,1 mM
"Chemical compound, drug",Glucose,B. Brown,2355740,10%
"Chemical compound, drug",Medetomidine hydrochloride,Dorbene vet. Zoetis,08164–43,0.08 mg/kg/hr
"Chemical compound, drug",Carbomer,Vidisic,74013T296/52-DE,2 mg/gr
"Chemical compound, drug",NaCl,Fresenius Kabi France,13KLP183,0.9%
"Chemical compound, drug",Agarose,Sigma-Aldrich,CAS: 9012-36-6,2%
"Software, algorithm",Brain Voyager 20.6,"Brain Innovation, Maastricht, Netherlands",,
"Software, algorithm",Matlab R2018a,"(The Mathworks, Inc, Natick, MA, USA)",,Codes available at https://github.com/Strohlab/connectivityelife copy archived athttps://github.com/elifesciences-publications/connectivityelife
