Unnamed: 0_level_0,HC,ROD,CHR,ROP,Statistics
Ne,280,151,143,147,Unnamed: 5_level_1
Age (SD),28.54 (6.43)c,29.13 (6.22)c,26.97 (4.98)b,28.45 (5.53),"F(3,717) = 3.57, p = 0.014"
Sex (m:w),110:170d,71:80d,72:71,"89:58a,b","X2(3, N = 721) = 18.08, p = 4.22e−4"
VisDys Prevalence (±),"4.28% (12/268)b,c,d","16.56% (25/126)a,c,d","55.94% (80/63)a,b","50.34% (74/73) a,b","X2(3, N = 721) = 185.19, p = 6.67e−40"
VisDys sum score (SD),"0.08 (0.39)c,d","0.64 (2.06)c,d","3.85 (5.71)a,b","4.46 (8.91)a,b","F(3,717) = 37.92, p = 9.44e−23"
WHOQOL physical (SD),"17.64 (1.67)b,c,d","12.86 (2.83)a,d",13.00 (2.38)a,"13.63 (2.60)a,b","F(3,648) = 204.62, p = 2.37e−93"
WHOQOL psychological (SD),"16.38 (2.05)b,c,d","10.47 (2.75)a,d","10.59 (3.03)a,d","12.14 (3.12)a,b,c","F(3,654) = 226.32, p = 1.11e−100"
WHOQOL social (SD),"16.04 (2.65)b,c,d",12.33 (3.47)a,12.32 (3.62)a,12.66 (3.58)a,"F(3,642) = 65.31, p = 7.26e−37"
WHOQOL environmental (SD),"16.71 (1.84)b,c,d",14.45 (2.54)a,14.19 (2.24)a,13.94 (2.61)a,"F(3,652) = 67.98, p = 2.94e−38"
FROGS DailyLife (SD),–,20.80 (4.67),19.41 (4.43)d,20.08 (4.72)c,"F(2,433) = 21.01, p = 1.96e−9"
FROGS Activities (SD),–,11.98 (3.16)d,8.87 (3.50)d,"10.32 (3.22)b,c","F(2,433) = 13.59, p = 2.00e−6"
FROGS Relationships (SD),–,20.35 (4.64)d,17.03 (4.27)d,"18.04 (4.77)b,c","F(2,433) = 19.38, p = 8.63e−9"
FROGS Health and Treatment (SD),–,12.58 (2.62),11.31 (2.51),11.72 (2.80),"F(2,432) = 16.37, p = 1.41e−7"
PANSS pos (SD),–,"7.66 (1.24)c,d","10.17 (3.16)b,d","17.51 (6.36)b,c","F(2,433) = 223.16, p = 2.46e−67"
PANSS neg (SD),–,12.27 (4.79)d,12.20 (5.77)d,"16.47 (7.89)b,c","F(2,433) = 22.01, p = 7.90e−10"
PANSS gen (SD),–,26.95 (6.55)d,27.74 (7.12)d,"35.64 (11.01)b,c","F(2,431) = 46.89, p = 2.85e−19"
ROCF whole (SD),34.56 (1.88)d,33.98 (2.78),34.14 (2.71),33.30 (3.89)a,"F(3,696) = 6.78, p = 1.65e−4"
ROCF immediate (SD),"24.71 (5.57)c,d",23.76 (6.12)d,"22.84 (6.50)a,d","19.57 (7.09)a,b,c","F(3,696) = 22.15, p = 1.05e−13"
ROCF delayed (SD),"24.75 (5.31)c,d",23.63 (6.15)d,"22.24 (6.41)a,d","19.72 (6.91)a,b,c","F(3,696) = 23.00, p = 3.77e−14"
BDI-II (SD),"3.67 (5.24)b,c,d","25.85 (13.98)a,d","25.75 (12.24)a,d","21.91 (12.61)a,b,c","F(3,659) = 212.69, p = 8.61e−98"
GF Role (SD),"8.55 (0.75)b,c,d","6.24 (1.61)a,d","6.18 (1.42)a,d","5.19 (1.71)a,b,c","F(3,712) = 252.89, p = 2.97e−114"
GF Social (SD),"8.51 (0.82)b,c,d","6.46 (1.32)a,d","6.47 (1.30)a,d","5.63 (1.51)a,b,c","F(3,712) = 232.52, p = 1.91e−107"
