Cluster,Voxel level,Voxel level,Voxel level,MNI Coordinates,MNI Coordinates,MNI Coordinates
k,Brain areas,BA,T,x,y,z
,NT1 < HC,,,,,
93.0,Post-central gyrus,3.0,5.54,−30,−31,54
409.0,Lingual gyrus,19.0,5.32,24,−64,−6
409.0,Cuneus,18.0,5.2,−18,−76,18
,NT1 > HC,,,,,
99.0,Anterior insula,,5.13,36,−1,−2
99.0,Claustrum,,4.6,33,−7,10
99.0,Putamen,,4.06,30,5,6
176.0,Precentral gyrus,4.0,4.87,45,−4,30
176.0,Inferior frontal gyrus (pars opercolaris),44.0,4.75,60,11,18
27.0,Putamen,,4.04,–33,−16,2
27.0,Posterior insula,,3.3,−36,−16,−2
