Seed area,Brain region (AAL),Cluster size,"Peak MNI coordinate (X, Y, Z)","Peak MNI coordinate (X, Y, Z).1","Peak MNI coordinate (X, Y, Z).2",Peak intensity
PD-Pre-DBS > PD-Post-DBS,PD-Pre-DBS > PD-Post-DBS,PD-Pre-DBS > PD-Post-DBS,PD-Pre-DBS > PD-Post-DBS,PD-Pre-DBS > PD-Post-DBS,PD-Pre-DBS > PD-Post-DBS,PD-Pre-DBS > PD-Post-DBS
Left MTG,,,,,,
Cluster 1,Temporal_Mid_L,82,−51,−42,−6,5.8543
Cluster 2,Temporal_Mid_L,268,−60,−57,21,8.7876
Cluster 3,Temporal_Sup_R,10,63,−45,21,3.9255
Right precuneus,Right precuneus,Right precuneus,Right precuneus,Right precuneus,Right precuneus,Right precuneus
Cluster 1,Precuneus_R,51,6,−45,12,5.0775
Cluster 2,Angular_L,153,−48,−63,36,5.5852
Cluster 3,Frontal_Mid_R,25,33,21,42,4.6804
Cluster 4,Frontal_Mid_L,46,−30,24,48,4.4671
Right angular gyrus,Right angular gyrus,Right angular gyrus,Right angular gyrus,Right angular gyrus,Right angular gyrus,Right angular gyrus
Cluster 1,Occipital_Mid_L,161,−33,−75,39,6.703
Cluster 2,Frontal_Mid_R,165,36,24,48,7.1617
Cluster 3,Frontal_Mid_L,51,−27,30,51,7.2077
Cluster 4,Precuneus_R,37,12,−60,48,5.0676
Left MFG,Left MFG,Left MFG,Left MFG,Left MFG,Left MFG,Left MFG
Cluster 1,Precuneus_L,282,0,−54,24,5.2609
Cluster 2,Angular_L,217,−48,−66,36,5.8502
Cluster 3,Angular_R,130,42,−69,42,6.4341
Right DLPFC,Right DLPFC,Right DLPFC,Right DLPFC,Right DLPFC,Right DLPFC,Right DLPFC
Cluster 1,Cerebelum_Crus1/2_L,57,−39,−72,−36,5.3958
Cluster 2,Temporal_Mid_L,45,−63,−54,−9,4.4681
Cluster 3,Angular_R,118,45,−69,39,5.0381
Cluster 4,Precuneus_L/R,22,3,−69,45,3.9463
PD-Post-DBS > PD-Pre-DBS,PD-Post-DBS > PD-Pre-DBS,,,,,
Left MFG,Left MFG,Left MFG,Left MFG,Left MFG,Left MFG,Left MFG
Cluster 1,Temporal_Pole_Sup_R,41,33,9,−33,−4.7855
Cluster 2,SupraMarginal_L,222,−60,−39,24,−6.9765
Cluster 3,SupraMarginal_R,36,54,−24,36,−4.2578
Right DLPFC,Right DLPFC,Right DLPFC,Right DLPFC,Right DLPFC,Right DLPFC,Right DLPFC
Cluster 1,Frontal_Mid_R,49,42,48,15,−6.2616
Cluster 2,Temporal_Sup_L,20,−57,−27,18,−4.995
Cluster 3,Parietal_Inf_L,17,−60,−39,39,−4.2406
Right IFG,Right IFG,Right IFG,Right IFG,Right IFG,Right IFG,Right IFG
Cluster 1,Frontal_Sup_R,23,21,48,36,−4.362
