Node,Node,n-BMI (N = 23),n-BMI (N = 23),h-BMI (N = 15),h-BMI (N = 15),n-BMI vs. h-BMI,n-BMI vs. h-BMI,BFM %,BFM %
funPar #,AAL,μ,SE,μ,SE,t,p,r,p
14,SFGdor-L,0.26,0.004,0.27,0.005,-2.36,0.024,0.41,0.01
19,SFGdor-R,0.27,0.003,0.28,0.004,-2.05,0.048,0.27,0.099
39,ORBmid-L,0.28,0.003,0.29,0.003,-2.44,0.02,0.19,0.249
41,ORBmid-L,0.27,0.003,0.29,0.003,-2.57,0.014,0.24,0.145
42,ORBmid-R,0.28,0.003,0.29,0.003,-2.22,0.033,0.41,0.01
44,ORBmid-R,0.27,0.003,0.28,0.005,-2.15,0.038,0.43,0.007
62,SFGmed-L,0.28,0.002,0.29,0.003,-3.5,0.001,0.49,0.002
79,REC-R,0.28,0.003,0.29,0.003,-2.34,0.025,0.34,0.038
84,INS-L,0.26,0.003,0.25,0.004,2.13,0.04,-0.19,0.253
92,MCG-L,0.26,0.004,0.25,0.005,2.29,0.028,-0.37,0.021
95,MCG-R,0.26,0.004,0.25,0.005,2.61,0.013,-0.3,0.064
96,MCG-R,0.27,0.003,0.25,0.006,2.17,0.037,-0.21,0.212
109,AMYG-R,0.27,0.004,0.26,0.004,2.13,0.04,-0.21,0.21
188,STG-R,0.27,0.002,0.28,0.003,-2.39,0.022,0.27,0.104
190,STG-R,0.26,0.002,0.27,0.005,-2.18,0.036,0.15,0.363
