Variable,ADHD Group,Healthy Controls,t-Value (d.f. 101),p-Value,Cohen’s d
N,53,50,,,
Female/Male,15/38,18/32,,,
Age,27.0 (5.5),26.2 (5.3),0.79,0.429,0.16
Years of school,10.7 (1.7),10.9 (1.7),−0.43,0.668,−0.09
Estimated IQ,113.2 (12.8),116.2 (11.8),−1.24,0.217,−0.24
DSM-IV A1,7.01 (1.25),0.22 (0.51),36.06,<0.001,7.11
DSM-IV A2,4.74 (2.49),0.32 (0.77),12.01,<0.001,2.37
CAARS_DSM-IA_S,19.11 (4.18),5.24 (3.41),18.40,<0.001,3.63
CAARS_DSM-HY/I_S,14.72 (5.89),4.72 (3.29),10.55,<0.001,2.08
CAARS_DSM-ADHD_S,33.60 (8.50),9.96 (5.84),16.36,<0.001,3.23
CAARS_DSM-IA_O,16.79 (5.07),4.58 (3.55),14.09,<0.001,2.78
CAARS_DSM-HY/I_O,12.23 (6.32),4.70 (3.97),7.19,<0.001,1.42
CAARS_DSM-ADHD_O,29.00 (9.33),9.28 (6.56),12.34,<0.001,2.43
