ROI #,Gyrus/Region,Volume (mm3),"Weighted Center, MNI Coordinates (mm)","Weighted Center, MNI Coordinates (mm)","Weighted Center, MNI Coordinates (mm)"
ROI #,Gyrus/Region,Volume (mm3),x,y,z
1,Left premotor cortex,2112,−44.58,3.96,29.38
2,"Left middle temporal gyrus, left precuneus",1728,−28.52,−65.42,31.45
3,"Right superior frontal gyrus, left cingulate gyrus",1608,3.59,14.64,45.72
4,Left claustrum,1384,−33.41,17.68,−2.27
5,"Left middle temporal gyrus, left middle occipital gyrus",976,−49.05,−58.3,−3.19
6,Left uvula,440,−5.33,−79.75,−32.55
7,Left frontal eye field,440,−27.08,−0.93,55.99
8,Right insula,368,39.29,7.35,13.77
9,Left insula,328,−39.29,12.46,10.63
10,Right precuneus,328,26.97,−69.03,47.44
11,Right middle temporal gyrus,312,52.13,−56.13,−9.21
