Gyrus/Region of the Peak,Peak MNI Coordinates (mm),Peak MNI Coordinates (mm),Peak MNI Coordinates (mm),Peak t (28),Number of Voxels,"p (FWE, Cluster Level)"
Gyrus/Region of the Peak,x,y,z,Peak t (28),Number of Voxels,"p (FWE, Cluster Level)"
Contrast “insight > rest”,Contrast “insight > rest”,Contrast “insight > rest”,Contrast “insight > rest”,Contrast “insight > rest”,Contrast “insight > rest”,Contrast “insight > rest”
Left inferior occipital gyrus,−26,−96,−2,14.78,2235,<0.001
Right inferior occipital gyrus,34,−94,0,12.97,1456,<0.001
Left precentral gyrus,−44,6,30,12.83,"15,446",<0.001
Right cerebellum exterior,24,−66,−50,11.09,1085,<0.001
Left superior parietal lobule,−32,−46,48,10.63,2598,<0.001
Right precentral gyrus,46,6,28,5.37,622,<0.001
Contrast “analytical > rest”,Contrast “analytical > rest”,Contrast “analytical > rest”,Contrast “analytical > rest”,Contrast “analytical > rest”,Contrast “analytical > rest”,Contrast “analytical > rest”
Right inferior occipital gyrus,34,−94,0,13.80,1475,<0.001
Left precentral gyrus,−44,6,30,13.77,"15,512",<0.001
Left inferior occipital gyrus,−26,−96,−2,13.55,2259,<0.001
Right cerebellum exterior,24,−70,−50,10.47,859,<0.001
Left superior parietal lobule,−28,−48,50,9.50,3006,<0.001
Right superior parietal lobule,30,−60,36,8.69,1951,<0.001
Right precentral gyrus,46,2,28,6.00,1019,<0.001
Contrast “insight > analytical”,Contrast “insight > analytical”,Contrast “insight > analytical”,Contrast “insight > analytical”,Contrast “insight > analytical”,Contrast “insight > analytical”,Contrast “insight > analytical”
Right precentral gyrus,40,−20,54,5.49995,259,0.017
