Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,ROI to ROI,Correlation coefficient,Correlation coefficient
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Pre,Post
Patient 1,Language networks,IC(L),aSTG(L),0.072,0.413
,,IFGtri(L),PreCG(L),−0.130,0.253
,,,SMA(L),−0.098,0.329
,,,networks.Language.IFG (L),0.489,0.83
,,IFG oper(L),networks.Language.pSTG(R),0.117,0.511
,,PreCG(L),pSTG(L),−0.254,0.143
,,,networks.Language.IFG (L),−0.028,0.32
,,aSTG(L),aSMG(L),−0.172,0.155
,,,pSMG(L),−0.191,0.262
,,aSMG(L),networks.Language.pSTG (L),−0.049,0.3
Patient 2,Language networks,IC(L),aSTG(R),0.095,0.677
,,,aSTG(L),0.013,0.461
,,IFG oper(L),IC(R),−0.190,0.268
,,PreCG(R),pSTG(R),−0.298,0.142
,,pSMG(L),IC(R),−0.174,0.327
,,,aSMG(R),0.085,0.514
,,aSTG(L),IC(L),0.013,0.461
,,pSMG(R),aSTG(R),−0.192,0.255
,,SMA(L),pSTG(R),−0.114,0.384
