References,Migraine subtype,Subjects (female),Subjects (female),Age (mean ± SD/SE),Age (mean ± SD/SE),Method of analysis,Seed region,Disease duration (year),Disease frequency (times/months),Medication (on/off),Scanner (Tesla),Statistical threshold,Quality scores (out of 20)
Unnamed: 0_level_1,Unnamed: 1_level_1,Patients,HCs,Patients,HCs,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
???,MwoA-DI,34 (25),44 (33),34.44 ± 10.04,30.63 ± 9.56,Seed-based analysis,The left middle frontal cortex (lower)1,10.68 ± 10.03,9.61 ± 8.98,Off,3.0 T,FWE (p < 0.001),18
???,MIG,50 (44),30 (23),40.14 ± 8.83,41.47 ± 10.41,Seed-based analysis,"DMPFC, PMC, TPJ",15.63 ± 10.55,7.38 ± 5.58,Off,3.0 T,FWE (p < 0.05),19
???,MIG,18 (9),18 (9),23.22 ± 2.07,22.91 ± 2.08,ICA,–,9.56 ± 3.87,2.8 ± 2.57,Off,3.0 T,,19
???,MIG,17 (13),18 (14),41.71 ± 12.20,38.89 ± 11.25,Seed-based analysis,L PCC2,,,On,3.0 T,FWE (p < 0.005),19
???,MwoA,14 (NA),14 (NA),40.75 ± 11.82,41.75 ± 12.82,ICA,–,12.3 ± 5.8,6.07 ± 2.81,On,3.0 T,Permutation (p < 0.05),17
???,MIG,13 (7),14 (6),13.8 (NA),13.6 (NA),ICA,–,,,On,3.0 T,FWE (p < 0.05),17
???,MwoA,20 (10),20 (10),28.15 ± 3.08 (SE),28.90 ± 3.63 (SE),ICA,–,8.22 ± 2.04,6 ± 2.04,Off,3.0 T,FDR (p < 0.05),19
???,MwoA,22 (13),22 (13),41.8 ± 10.2,42.0 ± 10.3,Seed-based analysis,Precuneus3,9.8 ± 7.3,3.2 ± 2.2,Off,3.0 T,FDR (p < 0.005),20
???,CM,17 (10),20 (11),45.41 ± 14.87,43.56 ± 8.77,ICA,–,10.47 ± 3.99,10.65 ± 2.83,Off,3.0 T,AlphaSim (p < 0.05),20
