Variables,Patients with ESRD (N = 40),Patients with PD (N = 20),Patients with HD (N = 20),p‐value???
Demographic data,Demographic data,Demographic data,Demographic data,Demographic data
"Age, years (SD)",62.9 (6.59),60.95 (5.414),64.85 (7.199),.060
"Men, N (%)",18 (45),10 (50),8 (40),.525
"Dialysis year, months (SD)",46.5 (52.53),63.1 (66.262),29.9 (26.338),.049???
"Education, years (SD)",10.4 (4.1),10.60 (3.633),10.15 (4.545),.883
"Dialysis adequacy, N (%)",36 (90),16 (80),20 (100),.106
Laboratory data,Laboratory data,Laboratory data,Laboratory data,Laboratory data
"Hemoglobin, g/dl (SD)",10.41 (1.17),10.41 (1.51),10.42 (0.74),.969
"Hematocrit, % (SD)",31.91 (3.68),31.88 (4.75),31.95 (2.27),.950
"Protein, g/dl (SD)",6.55 (0.63),6.39 (0.65),6.72 (0.58),.056
"Albumin, g/dl (SD)",3.8 (0.34),3.64 (0.27),3.96 (0.34),.003???
"Aspatate aminotransferase, U/L (SD)",21.1 (6.89),21.4 (6.11),20.8 (7.75),.787
"Alanine aminotrasferase, U/L (SD)",20.13 (10.7),20.2 (9.50),20.05 (12.02),.429
"BUN, mg/dl (SD)",58.84 (16.72),56.75 (14.69),60.92 (18.68),.142
"Creatinine, mg/dl (SD)",9.00 (2.5),9.97 (2.21),8.04 (2.45),.013???
"Sodium, mmol/L (SD)",138.78 (3.25),138.65 (3.89),138.9 (2.55),.779
"Potassium, mmol/L (SD)",4.81 (0.65),4.65 (0.54),4.97 (0.72),.081
"Chloride, mmol/L (SD)",99.23 (4.16),98.55 (4.32),99.9 (3.98),.311
"Calcium, mg/dl (SD)",8.49 (0.68),8.39 (0.70),8.59 (0.66),.375
"Phosphate, mg/dl (SD)",4.85 (0.94),5.05 (1.03),4.66 (0.81),.289
"Parathyroid hormone, pg/mL (SD)",286.63 (209.31),317.81 (260.93),255.45 (140.69),.904
"Total CO2 contents, mmol/L (SD)",24.68 (2.62),25.6 (2.46),23.76 (2.49),.024???
Neuropsychological data (z‐score),Neuropsychological data (z‐score),Neuropsychological data (z‐score),Neuropsychological data (z‐score),Neuropsychological data (z‐score)
Frontal/Executive function,Frontal/Executive function,Frontal/Executive function,Frontal/Executive function,Frontal/Executive function
Verbal Fluency Test (SD),−0.67 (0.94),−0.54 (1.18),−0.80 (0.64),.393
Trail Making B (SD),−1.22 (1.11),−1.68 (0.84),−0.77 (1.18),.008???
Stroop Test (reading color words) (SD),−1.03 (1.10),−0.81 (1.17),−1.25 (1.01),.213
Language,Language,Language,Language,Language
Modified Boston Naming (SD),0.25 (0.86),0.53 (0.83),−0.03 (0.81),.036???
Verbal memory,Verbal memory,Verbal memory,Verbal memory,Verbal memory
Word List Memory (SD),−0.03 (1.08),0.33 (0.88),−0.38 (1.17),.036???
Word List Recall (SD),−0.16 (1.12),0.32 (0.81),−0.63 (1.20),.005???
Word List Recognition (SD),0.11 (0.93),0.29 (0.56),−0.07 (1.18),.218
Visual memory,Visual memory,Visual memory,Visual memory,Visual memory
Constructional Recall (SD),−0.37 (0.95),−0.47 (0.92),−0.28 (0.99),.539
Visuospatial function,Visuospatial function,Visuospatial function,Visuospatial function,Visuospatial function
Constructional Praxis (SD),−0.83 (1.31),−0.99 (1.42),−0.67 (1.20),.437
Global cognition,Global cognition,Global cognition,Global cognition,Global cognition
MMSE‐KC (SD),0.24 (0.89),0.12 (0.78),0.35 (0.99),.424
"MMSE‐KC, raw score (SD)",26.9 (2.8),26.8 (2.5),27.1 (3.1),.736
